RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[774, 110, 222]",0.5766040086746216,0.5746200084686279,0.5559290647506714,0.7051135897636414,0.5484572052955627
0.00_1,"[774, 110, 222]",0.7023849487304688,0.5977698564529419,0.5618417859077454,0.5511306524276733,0.5634903907775879
0.00_2,"[774, 110, 222]",0.6770305037498474,0.6981144547462463,0.7439413070678711,0.6796974539756775,0.6761301755905151
0.05_0,"[449, 64, 129]",0.6476359367370605,1.7484831809997559,0.6818619966506958,1.2905768156051636,1.177033543586731
0.05_1,"[440, 62, 126]",0.6778200268745422,0.970439076423645,0.6864245533943176,0.7139722108840942,1.0326294898986816
0.05_2,"[447, 63, 128]",1.2356644868850708,0.7950708270072937,1.1472008228302002,1.1218011379241943,0.6718860268592834
0.10_0,"[250, 35, 72]",1.924344539642334,1.873503565788269,2.377232551574707,1.399315357208252,1.8636099100112915
0.10_1,"[264, 37, 76]",0.841374933719635,0.8363737463951111,1.2229516506195068,1.1792336702346802,0.7925569415092468
0.10_2,"[254, 36, 73]",0.7757496237754822,0.9243485331535339,0.7655129432678223,0.8215212821960449,0.9091403484344482
0.15_0,"[165, 23, 48]",1.1616966724395752,1.1578627824783325,1.2112644910812378,1.098705768585205,1.1718662977218628
0.15_1,"[164, 23, 47]",0.9391129016876221,1.218077540397644,0.851090669631958,0.9213274121284485,1.1070773601531982
0.15_2,"[173, 24, 50]",2.0300865173339844,2.039443254470825,2.116060733795166,2.1411349773406982,2.1202569007873535
0.20_0,"[109, 15, 31]",0.9587108492851257,0.9403226375579834,0.9540597200393677,0.9146772623062134,0.90492182970047
0.20_1,"[118, 16, 34]",1.5412569046020508,1.9040180444717407,1.414014220237732,1.7373347282409668,1.5560643672943115
0.20_2,"[105, 15, 30]",1.3759249448776245,1.8514659404754639,1.4158008098602295,1.5336506366729736,1.863530158996582
