RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[448, 64, 129]",1.049800157546997,1.177773118019104,1.053695797920227,1.1713685989379883,1.3663649559020996
0.00_1,"[448, 64, 129]",1.1830061674118042,1.2755719423294067,1.1784193515777588,1.0601582527160645,1.2065293788909912
0.00_2,"[448, 64, 129]",0.9884811043739319,1.0831873416900635,1.170657992362976,1.0079877376556396,1.5185405015945435
0.05_0,"[310, 44, 89]",1.0713622570037842,1.2547160387039185,1.05026376247406,0.9722732901573181,1.3144302368164062
0.05_1,"[292, 41, 84]",1.2934222221374512,1.542608618736267,2.4362728595733643,1.3446831703186035,1.271159052848816
0.05_2,"[299, 42, 86]",1.3476588726043701,1.3398773670196533,2.1490976810455322,1.3676234483718872,1.283036470413208
0.10_0,"[194, 27, 56]",1.8871732950210571,1.9106521606445312,1.9623329639434814,2.014526844024658,1.7903351783752441
0.10_1,"[182, 26, 52]",1.735191822052002,1.9209967851638794,1.536131739616394,1.3950754404067993,1.7698094844818115
0.10_2,"[190, 27, 55]",1.7073289155960083,1.8099899291992188,1.4765413999557495,1.667338490486145,1.6482353210449219
0.15_0,"[126, 18, 36]",2.1860220432281494,1.6342005729675293,3.020662307739258,1.8756613731384277,1.373123049736023
0.15_1,"[121, 17, 35]",,,,,
0.15_2,"[126, 17, 36]",,,,,
0.20_0,"[91, 12, 26]",4.577653884887695,4.373136043548584,4.23610258102417,2.51491379737854,4.438004970550537
0.20_1,"[95, 13, 28]",3.0700008869171143,2.146428346633911,1.1564143896102905,2.9721009731292725,2.342109203338623
0.20_2,"[98, 14, 29]",2.786275625228882,2.9215006828308105,4.1672210693359375,2.254142999649048,3.8334531784057617
0.25_0,"[70, 9, 20]",2.9330196380615234,4.0743727684021,2.0600850582122803,3.1418168544769287,2.2955095767974854
0.25_1,"[74, 10, 21]",5.523889541625977,5.0271430015563965,4.753551959991455,3.6716060638427734,4.531861782073975
0.25_2,"[70, 9, 20]",3.605405330657959,2.7709121704101562,2.569687843322754,3.206609010696411,3.5164742469787598
0.30_0,"[47, 6, 14]",2.7052559852600098,2.4045560359954834,2.529994249343872,2.8989765644073486,2.488787889480591
0.30_1,"[53, 7, 15]",5.865286827087402,5.58623743057251,6.10837984085083,6.049220561981201,6.226823329925537
0.30_2,"[47, 6, 14]",3.8554446697235107,3.9271533489227295,1.6150383949279785,7.119794845581055,4.874958515167236
0.35_0,"[37, 5, 11]",4.159112930297852,4.74404239654541,4.238437652587891,2.6366360187530518,4.3936848640441895
0.35_1,"[34, 4, 10]",3.1038527488708496,3.088601589202881,2.767833948135376,3.149829149246216,3.033496379852295
0.35_2,"[35, 5, 10]",6.36367130279541,5.78279972076416,5.307828903198242,6.228776454925537,6.798698902130127
0.40_0,"[35, 5, 10]",4.530697822570801,9.708794593811035,4.171115875244141,3.5503034591674805,3.6841111183166504
0.40_1,"[35, 4, 10]",3.1075990200042725,2.8707902431488037,2.591583728790283,1.633293867111206,3.180633306503296
0.40_2,"[25, 3, 8]",3.2153689861297607,3.2341654300689697,4.06378698348999,3.525902032852173,3.109994888305664
0.45_0,"[24, 3, 7]",4.484235763549805,2.222957134246826,3.9606969356536865,3.051799774169922,3.0516464710235596
0.45_1,"[24, 3, 7]",3.651259660720825,3.9986047744750977,4.719527721405029,4.062460899353027,3.6818690299987793
0.45_2,"[21, 3, 7]",16.3684139251709,4.989875793457031,4.611055374145508,4.584825038909912,4.5977678298950195
0.50_0,"[21, 3, 6]",4.096548080444336,4.124105930328369,4.130795955657959,4.07661247253418,4.329935550689697
0.50_1,"[21, 3, 6]",4.2340407371521,4.409313678741455,3.7756588459014893,4.8284454345703125,4.232649803161621
0.50_2,"[21, 3, 6]",3.052964210510254,1.9223453998565674,3.8579812049865723,4.303929805755615,3.9233293533325195
0.55_0,"[17, 2, 5]",,,,,
0.55_1,"[18, 2, 6]",4.958015441894531,4.7826995849609375,4.836601257324219,4.11910343170166,5.066197395324707
0.55_2,"[15, 2, 5]",4.066098690032959,4.120240688323975,4.2629075050354,4.228387832641602,4.122335433959961
0.60_0,"[14, 2, 4]",4.082849979400635,4.139557361602783,4.568908214569092,4.06684684753418,4.131634712219238
0.60_1,"[13, 1, 4]",,,,,
0.60_2,"[14, 2, 5]",3.3871407508850098,3.425579786300659,3.1538937091827393,3.460719585418701,3.653433322906494
0.65_0,"[14, 2, 4]",9.98572826385498,30.88053321838379,2.938448667526245,2.20636248588562,1.8640562295913696
0.65_1,"[12, 1, 4]",,,,,
0.65_2,"[12, 1, 4]",,,,,
0.70_0,"[14, 1, 4]",,,,,
0.70_1,"[12, 1, 4]",,,,,
0.70_2,"[8, 1, 3]",,,,,
0.75_0,"[10, 1, 3]",,,,,
0.75_1,"[11, 1, 4]",,,,,
0.75_2,"[10, 1, 3]",,,,,
0.80_0,"[9, 1, 3]",,,,,
0.80_1,"[11, 1, 3]",,,,,
0.80_2,"[9, 1, 3]",,,,,
0.85_0,"[8, 1, 3]",,,,,
0.85_1,"[8, 1, 3]",,,,,
0.85_2,"[10, 1, 3]",,,,,
0.90_0,"[7, 1, 3]",,,,,
0.90_1,"[8, 1, 3]",,,,,
0.90_2,"[8, 1, 3]",,,,,
0.95_0,"[7, 0, 2]",,,,,
0.95_1,"[7, 1, 3]",,,,,
0.95_2,"[8, 1, 3]",,,,,
1.00_0,"[7, 1, 2]",,,,,
1.00_1,"[7, 0, 2]",,,,,
1.00_2,"[7, 0, 2]",,,,,
