RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[448, 64, 129]",2.4554693698883057,2.395669937133789,2.4793701171875,2.478346109390259,2.490370512008667
0.00_1,"[448, 64, 129]",2.3020851612091064,2.2947189807891846,2.373624563217163,2.2959492206573486,2.4368896484375
0.00_2,"[448, 64, 129]",2.1311092376708984,2.4697577953338623,2.4052364826202393,2.2011613845825195,2.911642551422119
0.05_0,"[310, 44, 89]",2.6035356521606445,2.6911985874176025,2.635007858276367,2.673482894897461,2.5810353755950928
0.05_1,"[292, 41, 84]",2.6996910572052,2.6752047538757324,2.565377950668335,2.9058096408843994,2.7759861946105957
0.05_2,"[299, 42, 86]",2.395796060562134,2.46124267578125,2.291557550430298,2.329094648361206,2.6078224182128906
0.10_0,"[194, 27, 56]",4.5723557472229,4.55735969543457,4.553086280822754,4.585696220397949,4.55737829208374
0.10_1,"[182, 26, 52]",3.184811592102051,3.109070301055908,3.1999940872192383,3.177459239959717,3.2842092514038086
0.10_2,"[190, 27, 55]",3.009338617324829,2.8607730865478516,3.2720329761505127,3.104689598083496,3.016084671020508
0.15_0,"[126, 18, 36]",2.4564945697784424,2.4248430728912354,2.487297296524048,2.4547929763793945,2.5181140899658203
0.15_1,"[121, 17, 35]",2.7437753677368164,2.790095090866089,2.7844362258911133,2.837697982788086,2.8854498863220215
0.15_2,"[126, 17, 36]",3.88134503364563,3.860955238342285,3.84871244430542,3.8891024589538574,3.887367010116577
0.20_0,"[91, 12, 26]",4.212090015411377,4.3104448318481445,4.385854721069336,4.409728050231934,4.387407302856445
0.20_1,"[95, 13, 28]",3.0125319957733154,3.112532377243042,3.0920939445495605,3.046875,3.093172550201416
0.20_2,"[98, 14, 29]",4.605429172515869,4.579524517059326,4.360672473907471,4.607377529144287,4.529877185821533
0.25_0,"[70, 9, 20]",3.1137070655822754,3.1195409297943115,3.079542636871338,2.8806259632110596,3.1161258220672607
0.25_1,"[74, 10, 21]",5.602210998535156,5.351626873016357,5.585056781768799,5.617671966552734,5.689034938812256
0.25_2,"[70, 9, 20]",4.999368667602539,4.996692657470703,5.022392749786377,5.041563510894775,5.005975246429443
0.30_0,"[47, 6, 14]",2.754427909851074,2.7824201583862305,2.7305266857147217,2.7472567558288574,2.3533780574798584
0.30_1,"[53, 7, 15]",6.30539083480835,6.060421466827393,5.755054950714111,6.281796932220459,6.294267654418945
0.30_2,"[47, 6, 14]",3.8913726806640625,4.331205368041992,4.024901866912842,4.777745246887207,4.228460788726807
0.35_0,"[37, 5, 11]",4.807915210723877,4.799342632293701,4.812989234924316,4.82481575012207,4.809133529663086
0.35_1,"[34, 4, 10]",3.0984323024749756,3.104611873626709,2.9668281078338623,3.1402785778045654,3.0191237926483154
0.35_2,"[35, 5, 10]",7.508718013763428,7.5131940841674805,7.478919506072998,7.452094554901123,7.4923810958862305
0.40_0,"[35, 5, 10]",3.3031017780303955,3.2512710094451904,3.3842477798461914,3.2887680530548096,3.249589443206787
0.40_1,"[35, 4, 10]",3.0975606441497803,3.089280366897583,3.0864434242248535,3.0391364097595215,3.1707711219787598
0.40_2,"[25, 3, 8]",3.4153854846954346,3.4178571701049805,3.4107398986816406,3.396718740463257,3.4085259437561035
0.45_0,"[24, 3, 7]",3.22090220451355,3.40517520904541,3.151345729827881,3.2358713150024414,3.2234599590301514
0.45_1,"[24, 3, 7]",4.775260925292969,4.38300895690918,4.685425758361816,4.534368991851807,4.737117290496826
0.45_2,"[21, 3, 7]",4.789297580718994,4.765993118286133,4.8232293128967285,4.840208053588867,4.7934651374816895
0.50_0,"[21, 3, 6]",4.284641265869141,4.424255847930908,4.43184232711792,4.493988037109375,4.355994701385498
0.50_1,"[21, 3, 6]",3.785020589828491,4.209866046905518,3.8214986324310303,3.6530063152313232,3.7725918292999268
0.50_2,"[21, 3, 6]",4.526409149169922,4.510199546813965,4.638060569763184,4.674341201782227,4.612153053283691
0.55_0,"[17, 2, 5]",2.6782796382904053,2.6521213054656982,2.699404239654541,2.6971962451934814,2.6743733882904053
0.55_1,"[18, 2, 6]",4.1598896980285645,3.947092056274414,3.9864461421966553,3.921700954437256,3.993969202041626
0.55_2,"[15, 2, 5]",4.174674034118652,4.101153373718262,4.101265907287598,4.188911437988281,4.145333290100098
0.60_0,"[14, 2, 4]",3.5396320819854736,3.660040855407715,3.738253593444824,3.5054633617401123,3.5654823780059814
0.60_1,"[13, 1, 4]",,,,,
0.60_2,"[14, 2, 5]",3.535750389099121,3.5801475048065186,3.4904286861419678,3.4639992713928223,3.3488805294036865
0.65_0,"[14, 2, 4]",2.748131275177002,5.619152545928955,2.895613193511963,2.9245388507843018,3.621288776397705
0.65_1,"[12, 1, 4]",,,,,
0.65_2,"[12, 1, 4]",,,,,
0.70_0,"[14, 1, 4]",,,,,
0.70_1,"[12, 1, 4]",,,,,
0.70_2,"[8, 1, 3]",,,,,
0.75_0,"[10, 1, 3]",,,,,
0.75_1,"[11, 1, 4]",,,,,
0.75_2,"[10, 1, 3]",,,,,
0.80_0,"[9, 1, 3]",,,,,
0.80_1,"[11, 1, 3]",,,,,
0.80_2,"[9, 1, 3]",,,,,
0.85_0,"[8, 1, 3]",,,,,
0.85_1,"[8, 1, 3]",,,,,
0.85_2,"[10, 1, 3]",,,,,
0.90_0,"[7, 1, 3]",,,,,
0.90_1,"[8, 1, 3]",,,,,
0.90_2,"[8, 1, 3]",,,,,
0.95_0,"[7, 0, 2]",,,,,
0.95_1,"[7, 1, 3]",,,,,
0.95_2,"[8, 1, 3]",,,,,
1.00_0,"[7, 1, 2]",,,,,
1.00_1,"[7, 0, 2]",,,,,
1.00_2,"[7, 0, 2]",,,,,
