AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[999, 142, 286]",0.5756211876869202,0.587521493434906,0.5839641690254211,0.5807157158851624,0.6109490990638733
0.00_1,"[999, 142, 286]",0.621826171875,0.6069186925888062,0.610027551651001,0.605046808719635,0.6223930716514587
0.00_2,"[999, 142, 286]",0.6115018129348755,0.6152588129043579,0.629148006439209,0.637012779712677,0.6039340496063232
0.05_0,"[525, 75, 150]",0.5549880266189575,0.5667425990104675,0.5741173624992371,0.56446772813797,0.5518543720245361
0.05_1,"[529, 75, 151]",0.5401387810707092,0.5279430150985718,0.5503918528556824,0.5357844829559326,0.5263807773590088
0.05_2,"[535, 76, 153]",0.5466179847717285,0.5641846060752869,0.5581643581390381,0.5624154210090637,0.5591138005256653
0.10_0,"[294, 41, 84]",0.5332062244415283,0.5232045650482178,0.51816326379776,0.5351067185401917,0.5375675559043884
0.10_1,"[294, 42, 84]",0.5644581317901611,0.5642058253288269,0.5077584385871887,0.5639705061912537,0.5806942582130432
0.10_2,"[305, 43, 88]",0.6184325218200684,0.51425701379776,0.4544673562049866,0.6218993067741394,0.453715443611145
0.15_0,"[207, 29, 59]",0.5641189217567444,0.567813515663147,0.5897894501686096,0.5333283543586731,0.6219093203544617
0.15_1,"[208, 29, 60]",0.5652199983596802,0.557014524936676,0.5375905632972717,0.5492073893547058,0.5778483152389526
0.15_2,"[203, 29, 58]",0.6217965483665466,0.6907098293304443,0.6521565914154053,0.6841040253639221,0.6034060716629028
0.20_0,"[154, 22, 45]",0.5818753242492676,0.5575947761535645,0.5997123122215271,0.5389909744262695,0.5476719737052917
0.20_1,"[153, 21, 44]",0.5317175984382629,0.5044874548912048,0.6020057201385498,0.4962388575077057,0.5562326312065125
0.20_2,"[148, 21, 43]",0.5594689249992371,0.5498930215835571,0.5696564316749573,0.5701156258583069,0.57295823097229
0.25_0,"[114, 16, 33]",0.5882067680358887,0.4827124774456024,0.5472098588943481,0.5540058016777039,0.5269895195960999
0.25_1,"[112, 15, 32]",0.505869448184967,0.4912622570991516,0.5265645980834961,0.5054835677146912,0.5287556648254395
0.25_2,"[118, 16, 34]",0.6203199028968811,0.6006869673728943,0.5823136568069458,0.5476471781730652,0.6177822351455688
0.30_0,"[98, 13, 28]",0.5631714463233948,0.527638852596283,0.527691125869751,0.5006628632545471,0.556377112865448
0.30_1,"[98, 14, 29]",0.5146187543869019,0.5304058790206909,0.5289965867996216,0.45074164867401123,0.48841527104377747
0.30_2,"[96, 13, 28]",0.5933078527450562,0.48355430364608765,0.5765340924263,0.5909318327903748,0.5228728652000427
0.35_0,"[81, 11, 24]",0.4863058030605316,0.4680430591106415,0.4601447284221649,0.39471644163131714,0.4548906683921814
0.35_1,"[84, 12, 25]",0.46718087792396545,0.49315565824508667,0.5098130106925964,0.42296847701072693,0.4521331787109375
0.35_2,"[85, 12, 25]",0.5785014629364014,0.6337487697601318,0.5281211733818054,0.5250565409660339,0.6224620938301086
0.40_0,"[67, 9, 20]",0.5850731730461121,0.6605281233787537,0.47507375478744507,0.6638731360435486,0.638069212436676
0.40_1,"[70, 10, 21]",0.502571165561676,0.5355262160301208,0.5541179180145264,0.5065833330154419,0.5222902894020081
0.40_2,"[63, 9, 19]",0.5218676924705505,0.5163244605064392,0.5285699367523193,0.4566766917705536,0.4501747786998749
0.45_0,"[60, 8, 18]",0.489642858505249,0.6399645805358887,0.48442426323890686,0.5602620840072632,0.3112068772315979
0.45_1,"[57, 8, 17]",0.5719693303108215,0.5806130170822144,0.5455396175384521,0.5839933753013611,0.6309497952461243
0.45_2,"[60, 8, 17]",0.6035153865814209,0.5878109931945801,0.6101565957069397,0.5830638408660889,0.5760931372642517
0.50_0,"[55, 7, 16]",0.44382521510124207,0.44633370637893677,0.4420613944530487,0.4905150830745697,0.4967157542705536
0.50_1,"[57, 8, 17]",0.43431970477104187,0.4194238781929016,0.5818341374397278,0.4235886335372925,0.430949330329895
0.50_2,"[54, 7, 16]",0.526877760887146,0.5467765927314758,0.5609906911849976,0.5372185111045837,0.4798133671283722
0.55_0,"[45, 6, 13]",0.45015090703964233,0.43537357449531555,0.42117735743522644,0.4830474257469177,0.39856502413749695
0.55_1,"[49, 7, 14]",0.5399534702301025,0.5056043863296509,0.5877580046653748,0.44483375549316406,0.580947995185852
0.55_2,"[46, 6, 14]",0.6608207821846008,0.6146507263183594,0.5751595497131348,0.5823875069618225,0.6246895790100098
0.60_0,"[40, 5, 12]",0.41601797938346863,0.419404000043869,0.3808130621910095,0.37046006321907043,0.4096013605594635
0.60_1,"[44, 6, 13]",0.5079311728477478,0.4905216693878174,0.5174041986465454,0.46793463826179504,0.4783483147621155
0.60_2,"[42, 6, 13]",0.6207605004310608,0.7238041758537292,0.4980345368385315,0.3093193769454956,0.46229222416877747
0.65_0,"[36, 5, 11]",0.3852439820766449,0.37552911043167114,0.4483097791671753,0.34714871644973755,0.40013229846954346
0.65_1,"[41, 5, 12]",0.588982105255127,0.5952114462852478,0.571755588054657,0.5553223490715027,0.509588360786438
0.65_2,"[42, 6, 12]",0.449457049369812,0.4272741675376892,0.4455048739910126,0.4330909252166748,0.43921202421188354
0.70_0,"[35, 5, 10]",0.46578484773635864,0.429691344499588,0.3984464704990387,0.4378967881202698,0.4250734746456146
0.70_1,"[34, 4, 10]",0.5220547318458557,0.4353894889354706,0.42838770151138306,0.47633597254753113,0.4077894985675812
0.70_2,"[32, 4, 10]",0.5582554340362549,0.5439037084579468,0.5356628894805908,0.6134024858474731,0.5421752333641052
0.75_0,"[33, 4, 10]",0.5935744047164917,0.5781775116920471,0.5850646495819092,0.5876572132110596,0.5830438137054443
0.75_1,"[32, 4, 10]",0.4896942675113678,0.4450308382511139,0.3690079152584076,0.43666520714759827,0.47030866146087646
0.75_2,"[32, 4, 10]",0.5207392573356628,0.5719164609909058,0.5547619462013245,0.6284671425819397,0.6911184787750244
0.80_0,"[28, 4, 8]",0.3958774507045746,0.40522482991218567,0.4244709014892578,0.4274911880493164,0.4005952477455139
0.80_1,"[30, 4, 9]",0.49241626262664795,0.47823336720466614,0.35683420300483704,0.5332157611846924,0.4453850984573364
0.80_2,"[28, 4, 9]",0.5206936597824097,0.5220605134963989,0.5373309254646301,0.441901832818985,0.49766314029693604
0.85_0,"[27, 3, 8]",0.36556437611579895,0.46033942699432373,0.5300264954566956,0.44691359996795654,0.4098764955997467
0.85_1,"[28, 4, 8]",0.2759700119495392,0.34966930747032166,0.3261243402957916,0.38425928354263306,0.31082451343536377
0.85_2,"[27, 3, 8]",0.3701278567314148,0.34867724776268005,0.42418426275253296,0.37965166568756104,0.39616405963897705
0.90_0,"[25, 3, 7]",0.2074074000120163,0.33395060896873474,0.2790123224258423,0.3067901134490967,0.34259259700775146
0.90_1,"[25, 3, 7]",0.3672839403152466,0.3907407224178314,0.36358025670051575,0.422839492559433,0.39814814925193787
0.90_2,"[23, 3, 7]",0.45864203572273254,0.1845679134130478,0.3018518388271332,0.3302469551563263,0.42222219705581665
0.95_0,"[20, 2, 6]",0.45226338505744934,0.4086419641971588,0.483950674533844,0.41995882987976074,0.4512345492839813
0.95_1,"[21, 2, 6]",0.32314813137054443,0.32551440596580505,0.3883744478225708,0.34434154629707336,0.3803497552871704
0.95_2,"[17, 2, 5]",0.4074074327945709,0.3858024775981903,0.37345680594444275,0.3641975522041321,0.40432095527648926
1.00_0,"[20, 2, 6]",0.3862140476703644,0.38775718212127686,0.3433127701282501,0.4089506268501282,0.3377572298049927
1.00_1,"[19, 2, 6]",0.3328189253807068,0.33580246567726135,0.33991771936416626,0.35555556416511536,0.4596707820892334
1.00_2,"[18, 2, 6]",0.3611111044883728,0.3176954388618469,0.23353908956050873,0.2858024835586548,0.37037035822868347
