,mean,std
bace_random,0.8262256979942322,0.0185296225649187
bace_scaffold,0.6929402232170105,0.0067759195091157
bace_umap,0.4923748850822448,0.0494519824409445
bbbp_random,0.9086970567703248,0.011475667301663
bbbp_scaffold,0.8033944606781006,0.0022716048647233
bbbp_umap,0.7594841718673706,0.0764161320565982
clintox_random,0.9818184852600098,0.0086206310761351
clintox_scaffold,0.9833279252052308,0.0004493280639354
clintox_umap,0.9747358679771424,0.0145766262039641
sider_random,0.818891574939092,0.0110799806624656
sider_scaffold,0.8326130390167237,0.0002146119611995
sider_umap,0.8206919193267822,0.0107967589584179
tox21_random,0.8627248406410217,0.0089484384859696
tox21_scaffold,0.7996380090713501,0.0021022248972253
tox21_umap,0.7923965930938721,0.020749480426045654
