SPECTRA_parameter,average,std
0.0,0.8722220460573832,0.021095071713680993
0.05,0.8065704902013143,0.055552623152487185
0.1,0.8264703154563904,0.050251611309065206
0.15,0.6913602749506632,0.026050557378743323
0.2,0.6844339966773987,0.11027540206548711
0.25,0.640768826007843,0.3113152517449519
0.3,0.7519977688789368,0.1624937776799656
0.35,0.6430555383364359,0.021381652273209956
0.4,0.6186660627524058,0.27663752480430653
0.45,0.6149999996026357,0.11034041159675825
0.5,0.30902777860562003,0.25543003333230707
0.55,0.37962963183720905,0.45840347754860883
0.6,0.6071428457895914,0.38151001603069035
0.65,0.25,0.25
0.7,0.43518519401550293,0.16276293415901297
0.75,0.3333333333333333,0.5773502691896258
0.8,0.16666666666666666,0.2886751345948129
0.85,0.0,0.0
0.9,0.3333333333333333,0.5773502691896258
0.95,0.0,0.0
1.0,1.0,
