SPECTRA_parameter,average,std
0.0,0.9880025784174601,0.0018067700578534814
0.05,0.9767031669616699,0.007412856238915358
0.1,0.9783888657887777,0.007102074567854832
0.15,0.9321914315223694,0.01425176434498805
0.2,0.9196598132451376,0.021736793836226558
0.25,0.9165582855542501,0.05590522391825987
0.3,0.9982608556747437,0.003012234714050021
0.35,0.918338418006897,0.055066884167481185
0.4,0.9734717210133871,0.042986512098121196
0.45,0.9003297686576843,0.07189113927861586
0.5,0.9480672478675842,0.014841475507718917
0.55,0.9423868457476298,0.08931082230779726
0.6,0.9270833333333334,0.12629537138523064
0.65,0.9947916666666666,0.009021097956087904
0.7,0.9769935409228007,0.004137559261974986
0.75,0.9044444561004639,0.08598018763065533
0.8,0.9108333587646484,0.0851591867296348
0.85,0.7291666666666666,0.2366211810750114
0.9,0.8888888756434122,0.19245011267171372
0.95,0.8518518408139547,0.2566001387580324
1.0,0.6666666666666666,0.38188130791298663
