,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bace_spectra_tanimoto_0.00_0,0.0,1210,303,0.175286633376612,0.8522927761077881,0.7049808502197266,0.7458745837211609,0.7579699158668518
bace_spectra_tanimoto_0.00_1,0.0,1210,303,0.1754373029166323,0.8602736592292786,0.7703180313110352,0.7854785323143005,0.8112103939056396
bace_spectra_tanimoto_0.00_2,0.0,1210,303,0.1748460916621078,0.8242499232292175,0.7279411554336548,0.7557755708694458,0.7519644498825073
bace_spectra_tanimoto_0.05_0,0.05,600,151,0.1608073086180999,0.715118408203125,0.557692289352417,0.695364236831665,0.6136084794998169
bace_spectra_tanimoto_0.05_1,0.05,612,153,0.1617293181659994,0.7327188849449158,0.6758620738983154,0.6928104758262634,0.6049715280532837
bace_spectra_tanimoto_0.05_2,0.05,608,153,0.1592275476543891,0.7731958627700806,0.6153846383094788,0.673202633857727,0.680695116519928
bace_spectra_tanimoto_0.10_0,0.1,344,86,0.1528823594563021,0.7678571939468384,0.3499999940395355,0.6976743936538696,0.5433824062347412
bace_spectra_tanimoto_0.10_1,0.1,339,85,0.1495388944961732,0.6774916648864746,0.0975609719753265,0.5647059082984924,0.5977106690406799
bace_spectra_tanimoto_0.10_2,0.1,350,88,0.1487048195802913,0.6837607026100159,0.3529411852359772,0.625,0.5810689926147461
bace_spectra_tanimoto_0.15_0,0.15,225,57,0.1440523944289029,0.600529134273529,0.3030303120613098,0.5964912176132202,0.4101170599460602
bace_spectra_tanimoto_0.15_1,0.15,231,58,0.1455309121167001,0.7800270318984985,0.6000000238418579,0.7241379022598267,0.6489150524139404
bace_spectra_tanimoto_0.15_2,0.15,224,57,0.1498252857776708,0.6388888955116272,0.3225806355476379,0.6315789222717285,0.4587622880935669
bace_spectra_tanimoto_0.20_0,0.2,151,38,0.1426076287107672,0.3529411554336548,0.0,0.5263158082962036,0.346365213394165
bace_spectra_tanimoto_0.20_1,0.2,156,40,0.1414534431643911,0.6739811897277832,0.0,0.7250000238418579,0.6079736351966858
bace_spectra_tanimoto_0.20_2,0.2,152,38,0.1419733805909359,0.7787114977836609,0.0,0.5526315569877625,0.6850590705871582
bace_spectra_tanimoto_0.25_0,0.25,97,25,0.1376071532307024,0.6666666865348816,0.0,0.5199999809265137,0.6606796383857727
bace_spectra_tanimoto_0.25_1,0.25,93,24,0.1362727786135746,0.6857142448425293,0.0,0.5833333134651184,0.6634271740913391
bace_spectra_tanimoto_0.25_2,0.25,104,27,0.1376771408994574,0.8522727489471436,0.0,0.5925925970077515,0.8051502704620361
bace_spectra_tanimoto_0.30_0,0.3,79,20,0.1353248773450302,0.4791666865348816,0.0,0.6000000238418579,0.3606809973716736
bace_spectra_tanimoto_0.30_1,0.3,75,19,0.1356732799972632,0.6000000238418579,0.0,0.5263158082962036,0.5192753672599792
bace_spectra_tanimoto_0.30_2,0.3,64,17,0.1405876564882171,0.4285714626312256,0.0,0.8235294222831726,0.1409849375486374
bace_spectra_tanimoto_0.35_0,0.35,56,15,0.1308251365096914,0.7407407164573669,0.0,0.6000000238418579,0.7244123816490173
bace_spectra_tanimoto_0.35_1,0.35,54,14,0.1309212901172224,0.5833333134651184,0.0,0.5714285969734192,0.5362433791160583
bace_spectra_tanimoto_0.35_2,0.35,52,14,0.1266450246008902,0.3333333134651184,0.0,0.6428571343421936,0.4185975193977356
bace_spectra_tanimoto_0.40_0,0.4,37,10,0.1384887396936511,0.5833333134651184,0.0,0.6000000238418579,0.5833333134651184
bace_spectra_tanimoto_0.40_1,0.4,41,11,0.1316390857720765,0.7142857313156128,0.0,0.6363636255264282,0.4547619223594665
bace_spectra_tanimoto_0.40_2,0.4,42,11,0.1311068549957596,0.8214285373687744,0.0,0.3636363744735718,0.8858276605606079
bace_spectra_tanimoto_0.45_0,0.45,33,9,0.1262132557471945,0.6666666269302368,0.0,0.6666666865348816,0.40476194024086
bace_spectra_tanimoto_0.45_1,0.45,35,9,0.1334797935744179,1.0,0.0,0.4444444477558136,1.0
bace_spectra_tanimoto_0.45_2,0.45,31,8,0.131006650209726,0.6666666269302368,0.0,0.75,0.2874999940395355
bace_spectra_tanimoto_0.50_0,0.5,29,8,0.1182215985119607,0.5333333015441895,0.0,0.625,0.3492063581943512
bace_spectra_tanimoto_0.50_1,0.5,28,8,0.1098980251938766,0.7142857313156128,0.0,0.875,0.1666666716337204
bace_spectra_tanimoto_0.50_2,0.5,28,8,0.1295977932122476,0.6666666269302368,0.0,0.75,0.6333333253860474
bace_spectra_tanimoto_0.55_0,0.55,22,6,0.1219224475945861,0.199999988079071,0.0,0.8333333134651184,0.1000000014901161
bace_spectra_tanimoto_0.55_1,0.55,20,5,0.1201519499343931,0.3333333432674408,0.0,0.4000000059604645,0.6555555462837219
bace_spectra_tanimoto_0.55_2,0.55,17,5,0.1333991242679071,0.0,0.0,1.0,0.5
bace_spectra_tanimoto_0.60_0,0.6,15,4,0.1228737074897465,0.6666666269302368,0.0,0.75,0.25
bace_spectra_tanimoto_0.60_1,0.6,15,4,0.1284121951841768,0.0,0.0,0.25,0.5
bace_spectra_tanimoto_0.60_2,0.6,16,5,0.1197296021069763,0.5,0.5,0.6000000238418579,0.3333333432674408
bace_spectra_tanimoto_0.65_0,0.65,12,3,0.1360447127070821,0.0,0.0,0.3333333432674408,0.5
bace_spectra_tanimoto_0.65_1,0.65,13,4,0.1195813444042782,0.5,0.0,0.5,0.4166666865348816
bace_spectra_tanimoto_0.65_2,0.65,13,4,0.1284275280337952,0.6666666269302368,0.0,0.75,0.25
bace_spectra_tanimoto_0.70_0,0.7,10,3,0.1242263350256533,0.0,0.800000011920929,0.6666666865348816,0.4166666865348816
