,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bbbp_spectra_tanimoto_0.00_0,0.0,1572,393,0.1122213858632003,0.8492742776870728,0.8910568952560425,0.8295165300369263,0.9493929147720336
bbbp_spectra_tanimoto_0.00_1,0.0,1572,393,0.1143789336808921,0.890770673751831,0.915032684803009,0.8676844835281372,0.949369251728058
bbbp_spectra_tanimoto_0.00_2,0.0,1572,393,0.1131961005204147,0.8766211867332458,0.8954248428344727,0.8371501564979553,0.9393528699874878
bbbp_spectra_tanimoto_0.05_0,0.05,749,188,0.0970447786669043,0.8388406038284302,0.8683273792266846,0.8031914830207825,0.9260355234146118
bbbp_spectra_tanimoto_0.05_1,0.05,750,188,0.0983782567784996,0.8384466171264648,0.8850173950195312,0.8244680762290955,0.9231984615325928
bbbp_spectra_tanimoto_0.05_2,0.05,738,185,0.0973170586455513,0.7424242496490479,0.8689655065536499,0.7945945858955383,0.8701992630958557
bbbp_spectra_tanimoto_0.10_0,0.1,402,101,0.0855238764527318,0.8468468189239502,0.8627451062202454,0.7920792102813721,0.9399839043617249
bbbp_spectra_tanimoto_0.10_1,0.1,391,98,0.0880845400697901,0.7692307829856873,0.8533333539962769,0.7755101919174194,0.874613881111145
bbbp_spectra_tanimoto_0.10_2,0.1,395,99,0.0875332746269102,0.8633333444595337,0.884353756904602,0.8282828330993652,0.9422796964645386
bbbp_spectra_tanimoto_0.15_0,0.15,250,63,0.0755043873188003,0.6755813956260681,0.8113207817077637,0.682539701461792,0.8525625467300415
bbbp_spectra_tanimoto_0.15_1,0.15,263,66,0.0773329220824199,0.6770708560943604,0.852173924446106,0.7424242496490479,0.8573704361915588
bbbp_spectra_tanimoto_0.15_2,0.15,253,64,0.078310752221865,0.7214285731315613,0.8849557638168335,0.796875,0.8892050385475159
bbbp_spectra_tanimoto_0.20_0,0.2,178,45,0.0742473951541029,0.6637930870056152,0.7837837934494019,0.644444465637207,0.7670741081237793
bbbp_spectra_tanimoto_0.20_1,0.2,182,46,0.0754297548551773,0.8035714030265808,0.8205128312110901,0.695652186870575,0.8957353830337524
