,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
clintox_spectra_tanimoto_0.00_0,0.0,1153,289,0.0983342671821437,0.9866853356361388,0.9395509362220764,0.9394463896751404,0.9878130555152892
clintox_spectra_tanimoto_0.00_1,0.0,1153,289,0.0969307362082373,0.987260103225708,0.9551724195480348,0.9550173282623292,0.988190770149231
clintox_spectra_tanimoto_0.00_2,0.0,1153,289,0.0946755275942486,0.9900622963905334,0.9602763652801514,0.9602076411247252,0.990500032901764
clintox_spectra_tanimoto_0.05_0,0.05,592,149,0.0835883983603955,0.9780600666999816,0.9399999976158142,0.9395973086357116,0.9809065461158752
clintox_spectra_tanimoto_0.05_1,0.05,600,150,0.0847089895623071,0.9687055945396424,0.9205297827720642,0.9200000166893004,0.9705976247787476
clintox_spectra_tanimoto_0.05_2,0.05,614,154,0.0832446291909917,0.9833438396453856,0.9449838399887084,0.9448052048683168,0.9852849245071412
clintox_spectra_tanimoto_0.10_0,0.1,333,84,0.0733159104315852,0.9710884690284728,0.9523809552192688,0.9523809552192688,0.9718934297561646
clintox_spectra_tanimoto_0.10_1,0.1,328,83,0.0744159715056448,0.9788036942481996,0.946107804775238,0.9457831382751464,0.9834654331207277
clintox_spectra_tanimoto_0.10_2,0.1,327,82,0.0714733657221135,0.9852744340896606,0.9575757384300232,0.957317054271698,0.986641526222229
clintox_spectra_tanimoto_0.15_0,0.15,221,56,0.0648591043996699,0.9486443996429444,0.9557521939277648,0.9553571343421936,0.953191876411438
clintox_spectra_tanimoto_0.15_1,0.15,225,57,0.0670879879271849,0.9236688613891602,0.9473684430122375,0.9473684430122375,0.9106011390686036
clintox_spectra_tanimoto_0.15_2,0.15,228,57,0.0659944074331636,0.9242610335350036,0.921739101409912,0.921052634716034,0.9296643733978271
clintox_spectra_tanimoto_0.20_0,0.2,171,43,0.0580038674455578,0.9442641139030457,0.9655172228813172,0.9651162624359132,0.9388277530670166
clintox_spectra_tanimoto_0.20_1,0.2,159,40,0.0581197070766693,0.9116541147232056,0.9024389982223512,0.8999999761581421,0.9276165962219238
clintox_spectra_tanimoto_0.20_2,0.2,168,42,0.0598460424507329,0.9030612111091614,0.9285714030265808,0.9285714030265808,0.8922584652900696
clintox_spectra_tanimoto_0.25_0,0.25,124,31,0.056716409935251,0.9592477083206176,0.96875,0.9677419066429138,0.9770839214324952
clintox_spectra_tanimoto_0.25_1,0.25,121,31,0.0518235012153102,0.853277862071991,0.8709677457809448,0.8709677457809448,0.8483227491378784
clintox_spectra_tanimoto_0.25_2,0.25,118,30,0.0569471020312645,0.9371492862701416,0.9523809552192688,0.949999988079071,0.9662972688674928
clintox_spectra_tanimoto_0.30_0,0.3,102,26,0.0469000561941901,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.30_1,0.3,92,23,0.0462938520012905,0.9999999403953552,1.0,1.0,0.9999999403953552
clintox_spectra_tanimoto_0.30_2,0.3,93,24,0.0492587143648142,0.9947826266288756,0.9795918464660645,0.9791666865348816,0.995634913444519
clintox_spectra_tanimoto_0.35_0,0.35,82,21,0.0420658269082851,0.8684807419776917,0.9047619104385376,0.9047619104385376,0.792072594165802
clintox_spectra_tanimoto_0.35_1,0.35,81,21,0.045520176160619,0.9090909361839294,0.930232584476471,0.9285714030265808,0.9024660587310792
clintox_spectra_tanimoto_0.35_2,0.35,79,20,0.0423387834437583,0.9774435758590698,0.9756097793579102,0.975000023841858,0.9854679107666016
clintox_spectra_tanimoto_0.40_0,0.4,64,17,0.0450003251135379,0.9238753914833068,0.8823529481887817,0.8823529481887817,0.9293361306190492
clintox_spectra_tanimoto_0.40_1,0.4,74,19,0.04270333654823,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.40_2,0.4,65,17,0.0387523709074619,0.9965397715568542,0.9411764740943908,0.9411764740943908,0.996635913848877
clintox_spectra_tanimoto_0.45_0,0.45,56,14,0.0462270425460216,0.8877550959587097,0.8571428656578064,0.8571428656578064,0.8929548263549805
clintox_spectra_tanimoto_0.45_1,0.45,58,15,0.0393291177109168,0.8355555534362793,0.800000011920929,0.800000011920929,0.8343624472618103
clintox_spectra_tanimoto_0.45_2,0.45,56,15,0.0380203682285839,0.977678656578064,0.9677419066429138,0.9666666388511658,0.984747052192688
clintox_spectra_tanimoto_0.50_0,0.5,44,12,0.0367216149744497,0.9375,0.9166666865348816,0.9166666865348816,0.9408754110336304
clintox_spectra_tanimoto_0.50_1,0.5,43,11,0.0304235805438028,0.9416667222976683,0.95652174949646,0.9545454382896424,0.9684454202651978
clintox_spectra_tanimoto_0.50_2,0.5,44,12,0.0380172214253024,0.9650350213050842,0.959999978542328,0.9583333134651184,0.978003978729248
clintox_spectra_tanimoto_0.55_0,0.55,40,11,0.033633646525023,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.55_1,0.55,34,9,0.0326004285348677,0.9876543283462524,0.8888888955116272,0.8888888955116272,0.9882715940475464
clintox_spectra_tanimoto_0.55_2,0.55,35,9,0.0361104118326252,0.839506208896637,0.8888888955116272,0.8888888955116272,0.8267967700958252
clintox_spectra_tanimoto_0.60_0,0.6,32,9,0.0312832076661459,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.60_1,0.6,31,8,0.0206730931054001,0.78125,0.75,0.75,0.7511408925056458
clintox_spectra_tanimoto_0.60_2,0.6,32,8,0.0373440651928205,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.65_0,0.65,28,8,0.0267209845259468,0.984375,0.875,0.875,0.9852430820465088
clintox_spectra_tanimoto_0.65_1,0.65,28,7,0.0282299097018007,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.65_2,0.65,25,7,0.0306749809557346,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.70_0,0.7,24,7,0.0254006747565187,0.9795917868614196,0.8571428656578064,0.8571428656578064,0.980867326259613
clintox_spectra_tanimoto_0.70_1,0.7,23,6,0.0189461920124968,0.9722222089767456,0.8333333134651184,0.8333333134651184,0.9742063879966736
clintox_spectra_tanimoto_0.70_2,0.7,26,7,0.034248971358729,0.9791666269302368,0.9333333373069764,0.9285714030265808,0.9852430820465088
clintox_spectra_tanimoto_0.75_0,0.75,19,5,0.0257980210361915,0.8800000548362732,0.800000011920929,0.800000011920929,0.8930951952934265
clintox_spectra_tanimoto_0.75_1,0.75,20,5,0.0252055264419963,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.75_2,0.75,21,6,0.025547105670476,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.8615740537643433
clintox_spectra_tanimoto_0.80_0,0.8,16,4,0.0347671455969682,0.8125,0.75,0.75,0.8354166746139526
clintox_spectra_tanimoto_0.80_1,0.8,19,5,0.0187259946727138,0.9600000381469728,0.800000011920929,0.800000011920929,0.9633333683013916
clintox_spectra_tanimoto_0.80_2,0.8,17,5,0.0177234276266683,0.9600000381469728,0.800000011920929,0.800000011920929,0.9633333683013916
clintox_spectra_tanimoto_0.85_0,0.85,14,4,0.0316785228958195,0.625,0.75,0.75,0.5193452835083008
clintox_spectra_tanimoto_0.85_1,0.85,12,4,0.0165820373104541,0.5625,0.75,0.75,0.5014880895614624
clintox_spectra_tanimoto_0.85_2,0.85,15,4,0.0235092687621353,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.90_0,0.9,11,3,0.028603107286693,0.6666666269302368,0.6666666865348816,0.6666666865348816,0.7111111283302307
clintox_spectra_tanimoto_0.90_1,0.9,10,3,0.0043668068026101,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.90_2,0.9,9,3,0.0228253935123084,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.95_0,0.95,9,3,0.0044416869132595,0.555555522441864,0.3333333432674408,0.3333333432674408,0.6555555462837219
clintox_spectra_tanimoto_0.95_1,0.95,8,2,0.0175824175824175,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_0.95_2,0.95,10,3,0.0174051081975705,1.0,1.0,1.0,1.0
clintox_spectra_tanimoto_1.00_0,1.0,5,2,0.0,0.25,0.5,0.5,0.3333333432674408
clintox_spectra_tanimoto_1.00_1,1.0,5,2,0.0,0.75,0.5,0.5,0.7916666865348816
clintox_spectra_tanimoto_1.00_2,1.0,5,2,0.0,1.0,1.0,1.0,1.0
