,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_tanimoto_0.00_0,0.0,884,222,0.0818937105105079,0.9386598467826844,0.7172067165374756,0.7993553876876831
delaney_spectra_tanimoto_0.00_1,0.0,884,222,0.081713755841463,0.9817496538162231,0.7687431573867798,0.7732791304588318
delaney_spectra_tanimoto_0.00_2,0.0,884,222,0.081779021916172,1.1307220458984375,0.8448957204818726,0.7099487781524658
delaney_spectra_tanimoto_0.05_0,0.05,513,129,0.0699527365929451,1.4244519472122192,1.1302109956741333,0.5487743616104126
delaney_spectra_tanimoto_0.05_1,0.05,502,126,0.0698290171835174,1.405122995376587,1.1125062704086304,0.5203671455383301
delaney_spectra_tanimoto_0.05_2,0.05,510,128,0.0711083100040366,1.3565096855163574,1.0724515914916992,0.5009449124336243
delaney_spectra_tanimoto_0.10_0,0.1,285,72,0.0599530880648248,1.630705952644348,1.2145633697509766,0.2686128616333008
delaney_spectra_tanimoto_0.10_1,0.1,301,76,0.0579091912817358,1.4499260187149048,1.1412163972854614,0.5183821320533752
delaney_spectra_tanimoto_0.10_2,0.1,290,73,0.0624189209133683,1.5355100631713867,1.1978483200073242,0.3756362795829773
delaney_spectra_tanimoto_0.15_0,0.15,188,48,0.0538088837706438,1.580563187599182,1.267269253730774,0.4153122901916504
delaney_spectra_tanimoto_0.15_1,0.15,187,47,0.0541524249155479,1.4634565114974976,1.157212257385254,0.4465706944465637
delaney_spectra_tanimoto_0.15_2,0.15,197,50,0.0519603935820842,2.0029971599578857,1.5046606063842771,0.3213047385215759
delaney_spectra_tanimoto_0.20_0,0.2,124,31,0.0526295836685305,1.3412383794784546,1.024585843086243,0.4708436727523803
delaney_spectra_tanimoto_0.20_1,0.2,134,34,0.0498560511020167,1.7962405681610107,1.4605766534805298,0.154816448688507
delaney_spectra_tanimoto_0.20_2,0.2,120,30,0.0498718998749439,1.4655606746673584,1.0975639820098877,0.3722473978996277
delaney_spectra_tanimoto_0.25_0,0.25,94,24,0.0495166152251392,2.087759017944336,1.6285232305526731,0.3387678861618042
delaney_spectra_tanimoto_0.25_1,0.25,97,25,0.0464501081403155,2.5270285606384277,1.9967724084854128,0.0214336514472961
delaney_spectra_tanimoto_0.25_2,0.25,90,23,0.0513503041446251,1.7321728467941284,1.3978369235992432,0.0778143405914306
delaney_spectra_tanimoto_0.30_0,0.3,76,19,0.0501096859927969,1.7791038751602173,1.456486701965332,0.2124582529067993
delaney_spectra_tanimoto_0.30_1,0.3,73,19,0.0388867626655304,1.4318207502365112,1.164198875427246,0.6540678143501282
delaney_spectra_tanimoto_0.30_2,0.3,64,16,0.046074166282646,2.112846851348877,1.710263967514038,0.3018316626548767
delaney_spectra_tanimoto_0.35_0,0.35,59,15,0.0434744856394134,1.087801218032837,0.8551778197288513,0.086163580417633
delaney_spectra_tanimoto_0.35_1,0.35,57,15,0.0442935129920319,1.581682562828064,1.1179832220077517,0.4463217854499817
delaney_spectra_tanimoto_0.35_2,0.35,55,14,0.0425075476379827,1.446193814277649,0.9725119471549988,0.4389176964759826
delaney_spectra_tanimoto_0.40_0,0.4,46,12,0.0387128207631835,2.2950589656829834,1.848832607269287,0.2857581377029419
delaney_spectra_tanimoto_0.40_1,0.4,44,11,0.0422594302528637,0.8602776527404785,0.7498092651367188,0.7175338268280029
delaney_spectra_tanimoto_0.40_2,0.4,45,12,0.0362455017956455,2.7178118228912354,1.6928154230117798,0.3616533875465393
