,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
freesolv_spectra_tanimoto_0.00_0,0.0,512,129,0.0783847327941085,1.9867335557937624,1.5362539291381836,0.7455397844314575
freesolv_spectra_tanimoto_0.00_1,0.0,512,129,0.0780825453812713,1.9339966773986816,1.4415287971496582,0.7255856990814209
freesolv_spectra_tanimoto_0.00_2,0.0,512,129,0.0766044861808604,1.8806769847869873,1.4886021614074707,0.7649610042572021
freesolv_spectra_tanimoto_0.05_0,0.05,354,89,0.0694176870074436,2.7818470001220703,2.0256502628326416,0.4644608497619629
freesolv_spectra_tanimoto_0.05_1,0.05,333,84,0.0679786018221503,2.5281596183776855,2.0200488567352295,0.3687859177589416
freesolv_spectra_tanimoto_0.05_2,0.05,341,86,0.0688067540479996,2.4508490562438965,1.9305146932601929,0.4130739569664001
freesolv_spectra_tanimoto_0.10_0,0.1,221,56,0.0548266699166953,3.5407896041870117,2.702599048614502,0.4450292587280273
freesolv_spectra_tanimoto_0.10_1,0.1,208,52,0.059620061690533,2.9585330486297607,2.19420862197876,0.3421800136566162
freesolv_spectra_tanimoto_0.10_2,0.1,217,55,0.0623601597148485,2.829463005065918,2.0835344791412354,0.4945483803749084
freesolv_spectra_tanimoto_0.15_0,0.15,144,36,0.0511176355930074,3.3105673789978027,2.5108532905578613,0.2535644769668579
freesolv_spectra_tanimoto_0.15_1,0.15,138,35,0.0527855307880395,2.9763243198394775,2.4436769485473633,0.2309296131134033
freesolv_spectra_tanimoto_0.15_2,0.15,143,36,0.0520061535484325,3.574423313140869,2.808375120162964,0.1570659279823303
freesolv_spectra_tanimoto_0.20_0,0.2,103,26,0.0459549335380251,3.689847469329834,2.660444974899292,0.3605247139930725
freesolv_spectra_tanimoto_0.20_1,0.2,108,28,0.0459663541596374,3.209563732147217,2.4667720794677734,-0.2832990884780884
freesolv_spectra_tanimoto_0.20_2,0.2,112,29,0.0442171621617903,4.399679183959961,3.4031763076782227,0.1296806931495666
freesolv_spectra_tanimoto_0.25_0,0.25,79,20,0.0426955482037224,3.8181538581848145,3.0635440349578857,-0.1771678924560547
freesolv_spectra_tanimoto_0.25_1,0.25,84,21,0.0415912490956496,5.224726676940918,2.661397933959961,0.0023115873336791
