,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
lipo_spectra_tanimoto_0.00_0,0.0,3360,840,0.1300016515442223,0.7582481503486633,0.5625708699226379,0.6307809948921204
lipo_spectra_tanimoto_0.00_1,0.0,3360,840,0.1294474500528298,0.7362021803855896,0.5593100190162659,0.6013919115066528
lipo_spectra_tanimoto_0.00_2,0.0,3360,840,0.1302794290116022,0.6690731644630432,0.5320994257926941,0.6841979026794434
lipo_spectra_tanimoto_0.05_0,0.05,1120,280,0.1145758673623577,1.1716570854187012,0.918000876903534,0.1800212860107422
lipo_spectra_tanimoto_0.05_1,0.05,1136,285,0.1151882460094051,1.086190700531006,0.8686231374740601,0.2321847677230835
lipo_spectra_tanimoto_0.05_2,0.05,1126,282,0.1135451054518753,1.023849368095398,0.8215067386627197,0.1622313857078552
lipo_spectra_tanimoto_0.10_0,0.1,540,136,0.1048820541178812,1.1007188558578491,0.91245299577713,0.0229974389076232
lipo_spectra_tanimoto_0.10_1,0.1,566,142,0.1072158098207418,1.1643623113632202,0.9666053652763368,0.1138642430305481
lipo_spectra_tanimoto_0.10_2,0.1,555,139,0.1053216157902989,1.0791263580322266,0.8835559487342834,0.129972755908966
lipo_spectra_tanimoto_0.15_0,0.15,333,84,0.1031982766516447,1.0947833061218262,0.9053066968917848,0.0639258623123169
lipo_spectra_tanimoto_0.15_1,0.15,324,82,0.1008534596351594,1.2848131656646729,1.0786160230636597,0.0645723938941955
lipo_spectra_tanimoto_0.15_2,0.15,324,81,0.1021203047934051,1.2104918956756592,1.0037825107574463,0.119031548500061
lipo_spectra_tanimoto_0.20_0,0.2,227,57,0.0984914724188486,1.1685503721237185,0.967471718788147,0.0172244906425476
lipo_spectra_tanimoto_0.20_1,0.2,231,58,0.0981684230064892,1.585976243019104,1.280467867851257,-0.0378583669662475
lipo_spectra_tanimoto_0.20_2,0.2,216,55,0.0974010821332702,1.255777359008789,1.052842378616333,0.0422001481056213
lipo_spectra_tanimoto_0.25_0,0.25,144,36,0.0953766954024715,1.297654151916504,0.9750757217407228,0.0049285888671875
lipo_spectra_tanimoto_0.25_1,0.25,160,40,0.0942587551172541,1.294995903968811,1.0212246179580688,0.0865519642829895
lipo_spectra_tanimoto_0.25_2,0.25,163,41,0.0952909033872406,1.2019814252853394,1.0238792896270752,0.0902915000915527
lipo_spectra_tanimoto_0.30_0,0.3,124,32,0.0946288873391642,1.4681414365768433,1.2740230560302734,-0.0156795978546142
lipo_spectra_tanimoto_0.30_1,0.3,125,32,0.0919950739484733,1.062610745429993,0.8689826726913452,0.1982873678207397
lipo_spectra_tanimoto_0.30_2,0.3,117,30,0.0920181344020046,1.3298102617263794,1.1293162107467651,0.1328922510147094
lipo_spectra_tanimoto_0.35_0,0.35,89,23,0.0917721522864226,1.2295743227005005,1.0522464513778689,-0.0201363563537597
lipo_spectra_tanimoto_0.35_1,0.35,99,25,0.0895478254031194,1.4166842699050903,1.1554163694381714,-0.0026441812515258
lipo_spectra_tanimoto_0.35_2,0.35,89,23,0.0880212030530732,1.5385013818740845,1.1279101371765137,-0.0640596151351928
lipo_spectra_tanimoto_0.40_0,0.4,69,18,0.0905250071960378,1.1319817304611206,0.8911570310592651,0.1667578220367431
lipo_spectra_tanimoto_0.40_1,0.4,68,17,0.0860503046413026,1.0784099102020264,0.8514124155044556,0.3038031458854675
lipo_spectra_tanimoto_0.40_2,0.4,75,19,0.0835406745409815,1.4827638864517212,1.2466230392456057,-0.0049637556076049
lipo_spectra_tanimoto_0.45_0,0.45,62,16,0.0874033377084789,1.465872883796692,1.268025040626526,-0.1054019927978515
lipo_spectra_tanimoto_0.45_1,0.45,56,14,0.0889934861707758,0.964901328086853,0.8072061538696289,-0.2171255350112915
lipo_spectra_tanimoto_0.45_2,0.45,52,14,0.0900855322736492,1.3565211296081543,1.0536553859710691,-0.2647243738174438
lipo_spectra_tanimoto_0.50_0,0.5,42,11,0.0858814268725092,1.364670753479004,1.019674301147461,-0.3549846410751343
lipo_spectra_tanimoto_0.50_1,0.5,42,11,0.0766628792748529,1.3010929822921753,1.101301908493042,-0.1659890413284301
lipo_spectra_tanimoto_0.50_2,0.5,47,12,0.0824384575670549,1.1880409717559814,1.044068455696106,-0.5331403017044067
lipo_spectra_tanimoto_0.55_0,0.55,36,9,0.0806604411529638,1.1279739141464231,0.8917251229286194,-0.1486515998840332
lipo_spectra_tanimoto_0.55_1,0.55,44,11,0.083585346862908,1.442342758178711,1.1744319200515747,-0.0843583345413208
lipo_spectra_tanimoto_0.55_2,0.55,34,9,0.0823757748255529,1.0636215209960938,0.8640518188476562,0.0109708309173583
lipo_spectra_tanimoto_0.60_0,0.6,29,8,0.083422318385459,1.3244870901107788,0.9868721961975098,-0.0309658050537109
lipo_spectra_tanimoto_0.60_1,0.6,28,8,0.0867431314472734,1.301439642906189,1.1746526956558228,-3.1872658729553223
lipo_spectra_tanimoto_0.60_2,0.6,28,8,0.0810753296560166,0.8134275674819946,0.5770445466041565,0.0864070057868957
lipo_spectra_tanimoto_0.65_0,0.65,25,7,0.0750720795879871,1.2511827945709229,1.170201063156128,-0.1455645561218261
lipo_spectra_tanimoto_0.65_1,0.65,23,6,0.0741697410258195,1.1350959539413452,0.934333562850952,-0.2296092510223388
lipo_spectra_tanimoto_0.65_2,0.65,24,6,0.0804663462049432,1.5450456142425537,1.3790816068649292,-0.0108053684234619
lipo_spectra_tanimoto_0.70_0,0.7,16,5,0.0768189078113837,2.0713412761688232,1.6959549188613892,-1.278491735458374
lipo_spectra_tanimoto_0.70_1,0.7,20,5,0.0816428704419526,1.409659743309021,1.3236299753189087,-4.007421016693115
lipo_spectra_tanimoto_0.70_2,0.7,20,6,0.068598286794354,1.0101786851882937,0.8764039874076843,0.3120139241218567
lipo_spectra_tanimoto_0.75_0,0.75,16,4,0.089890354755159,0.9057582020759584,0.5926698446273804,-0.0866181850433349
lipo_spectra_tanimoto_0.75_1,0.75,15,4,0.0734738671186651,1.1460819244384766,0.9516072869300842,-5.867999076843262
lipo_spectra_tanimoto_0.75_2,0.75,16,5,0.0712176428428024,1.370323657989502,1.0877153873443604,0.2247930765151977
lipo_spectra_tanimoto_0.80_0,0.8,11,3,0.0843396499010112,0.7673442363739014,0.7480551600456238,-1.4169249534606934
lipo_spectra_tanimoto_0.80_1,0.8,13,4,0.0646600916685623,1.380955934524536,1.2581369876861572,-4.137233257293701
lipo_spectra_tanimoto_0.80_2,0.8,12,3,0.0637593860323042,1.634438157081604,1.596859335899353,-0.4491109848022461
lipo_spectra_tanimoto_0.85_0,0.85,8,3,0.0750251200226944,0.8186242580413818,0.7415491938591003,-1.539501428604126
lipo_spectra_tanimoto_0.85_1,0.85,9,3,0.0710559004185766,1.9655516147613523,1.9402351379394531,0.0833504199981689
lipo_spectra_tanimoto_0.85_2,0.85,11,3,0.0684604233969656,1.924319624900818,1.7968100309371948,-6.955087184906006
lipo_spectra_tanimoto_0.90_0,0.9,7,2,0.0700391732895801,1.8759053945541384,1.4895977973937988,-1.383798122406006
lipo_spectra_tanimoto_0.90_1,0.9,8,2,0.064569124702863,0.804733395576477,0.6062725782394409,-21.408138275146484
lipo_spectra_tanimoto_0.90_2,0.9,9,3,0.0634648479610286,1.0100167989730835,0.8731468319892883,0.2787968516349792
lipo_spectra_tanimoto_0.95_1,0.95,5,2,0.0558730224827786,2.0431950092315674,2.043147563934326,-77.91532897949219
lipo_spectra_tanimoto_0.95_2,0.95,6,2,0.061130457718553244,0.6997285485267639,0.597974419593811,-1.985027551651001
