,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.00_0,0.0,1141,286,0.0949960434153769,0.817223846912384,0.8090974688529968,0.7597772479057312,0.8395697474479675
sider_spectra_tanimoto_0.00_1,0.0,1141,286,0.0953662386950199,0.8234198093414307,0.7996591925621033,0.7564102411270142,0.8324320316314697
sider_spectra_tanimoto_0.00_2,0.0,1141,286,0.0960516822003068,0.8281823396682739,0.8149068355560303,0.7684537768363953,0.8569175601005554
sider_spectra_tanimoto_0.05_0,0.05,600,150,0.0785587718061459,0.8165128231048584,0.7908215522766113,0.7479012608528137,0.8323337435722351
sider_spectra_tanimoto_0.05_1,0.05,604,151,0.0806462488275343,0.7980543375015259,0.7766632437705994,0.7324012517929077,0.8128610253334045
sider_spectra_tanimoto_0.05_0,0.05,600,150,0.0785587718061459,0.8163840174674988,0.7927228212356567,0.7496296167373657,0.8312861919403076
sider_spectra_tanimoto_0.05_1,0.05,604,151,0.0806462488275343,0.7982417345046997,0.7784848809242249,0.7353445887565613,0.8124395608901978
sider_spectra_tanimoto_0.05_2,0.05,611,153,0.0798685694658798,0.8190016150474548,0.8010295033454895,0.7567175030708313,0.8326165676116943
sider_spectra_tanimoto_0.10_0,0.1,335,84,0.0664683459573742,0.8032629489898682,0.7864357829093933,0.7389770746231079,0.8246517777442932
sider_spectra_tanimoto_0.10_1,0.1,336,84,0.066420830344408,0.8128594160079956,0.7809452414512634,0.7425044178962708,0.8049547076225281
sider_spectra_tanimoto_0.10_2,0.1,348,88,0.0650831603091541,0.8154119849205017,0.7858420014381409,0.7478955984115601,0.8149232268333435
sider_spectra_tanimoto_0.15_0,0.15,236,59,0.0542481164196293,0.779447078704834,0.730434775352478,0.7080979347229004,0.7355847358703613
sider_spectra_tanimoto_0.15_1,0.15,237,60,0.0552841306342365,0.7802613377571106,0.7217295169830322,0.690123438835144,0.748039186000824
sider_spectra_tanimoto_0.15_2,0.15,232,58,0.0591165838394021,0.8217158317565918,0.7823204398155212,0.7484035491943359,0.8138307332992554
sider_spectra_tanimoto_0.20_0,0.2,176,45,0.0489938884399089,0.7810367345809937,0.7449567914009094,0.7086419463157654,0.7717631459236145
sider_spectra_tanimoto_0.20_1,0.2,174,44,0.0499974021091015,0.8201416730880737,0.7550260424613953,0.7230639457702637,0.81281578540802
sider_spectra_tanimoto_0.20_2,0.2,169,43,0.0502379917342109,0.8141298294067383,0.7734317183494568,0.7355727553367615,0.8014311790466309
sider_spectra_tanimoto_0.25_0,0.25,130,33,0.0366304503892396,0.782518744468689,0.6961093544960022,0.6756453514099121,0.7509433031082153
sider_spectra_tanimoto_0.25_1,0.25,127,32,0.0405026690536904,0.8033787608146667,0.75,0.7268518805503845,0.7821093201637268
sider_spectra_tanimoto_0.25_2,0.25,134,34,0.044320084815634,0.8085766434669495,0.7579556703567505,0.7265795469284058,0.8062666654586792
sider_spectra_tanimoto_0.30_0,0.3,111,28,0.0352533494421785,0.7689725160598755,0.7073474526405334,0.6891534328460693,0.7141841053962708
sider_spectra_tanimoto_0.30_1,0.3,112,29,0.0298105529874909,0.7956129908561707,0.6905370950698853,0.6909323334693909,0.7463419437408447
sider_spectra_tanimoto_0.30_2,0.3,109,28,0.0326318980685838,0.8122519254684448,0.7581227421760559,0.7341269850730896,0.7895247936248779
sider_spectra_tanimoto_0.35_0,0.35,92,24,0.0346922539920206,0.8195604085922241,0.7650273442268372,0.7345678806304932,0.7760224342346191
sider_spectra_tanimoto_0.35_1,0.35,96,25,0.0241604336035395,0.7606661915779114,0.6919708251953125,0.6874074339866638,0.6846776008605957
sider_spectra_tanimoto_0.35_2,0.35,97,25,0.0291430639531704,0.784302294254303,0.7267759442329407,0.7037037014961243,0.7657628655433655
sider_spectra_tanimoto_0.40_0,0.4,76,20,0.0302559469896505,0.7937054634094238,0.7176079750061035,0.6851851940155029,0.7865630388259888
sider_spectra_tanimoto_0.40_1,0.4,80,21,0.0253000781391221,0.7655826807022095,0.6666666865348816,0.6807760000228882,0.6665769815444946
sider_spectra_tanimoto_0.40_2,0.4,72,19,0.0240858622820237,0.7621193528175354,0.5848214030265808,0.6374269127845764,0.5770079493522644
sider_spectra_tanimoto_0.45_0,0.45,68,18,0.021612127160904,0.7451473474502563,0.6267281174659729,0.6666666865348816,0.7126889228820801
