SPECTRA_parameter,average,std
0.0,0.8686814705530802,0.0026262843700205797
0.05,0.7852223118146261,0.016652705606835527
0.1,0.7117061813672384,0.011913340961585488
0.15,0.7318999171257019,0.03152799982153903
0.2,0.6532577077547709,0.024293954765270635
0.25,0.6374255816141764,0.018603794394571396
0.3,0.6398893793423971,0.01537745954138091
0.35,0.6748441457748413,0.07113723302673204
0.4,0.7063746452331543,0.04610858326179722
0.45,0.7660298546155294,0.1034158206270564
0.5,0.7718820969263712,0.03992428284739434
0.55,0.8039322098096212,0.07845823952171017
0.6,0.7995061675707499,0.12521878462051755
0.65,0.8240740696589152,0.06415002608631867
0.7,0.8472222089767456,0.1339396021436333
0.75,0.8376984198888143,0.09159963869350295
0.8,0.8092592358589172,0.036990692406724715
0.85,0.8333333333333334,0.14433756729740646
0.9,1.0,0.0
0.95,0.0,
