,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bace_spectra_tanimoto_0.00_0,0.0,1210,303,0.175286633376612,0.871600866317749,0.7550432085990906,0.78925621509552,0.8341501951217651
bace_spectra_tanimoto_0.00_1,0.0,1210,303,0.1754373029166323,0.8679325580596924,0.7281845808029175,0.7760330438613892,0.8076848983764648
bace_spectra_tanimoto_0.00_2,0.0,1210,303,0.1748460916621078,0.8665109872817993,0.758310854434967,0.7776859402656555,0.8263460993766785
bace_spectra_tanimoto_0.05_0,0.05,600,151,0.1608073086180999,0.7852600812911987,0.557692289352417,0.6933333277702332,0.6739317774772644
bace_spectra_tanimoto_0.05_1,0.05,612,153,0.1617293181659994,0.7685507535934448,0.6590038537979126,0.7091503143310547,0.6742076873779297
bace_spectra_tanimoto_0.05_2,0.05,608,153,0.1592275476543891,0.8018561005592346,0.6470588445663452,0.7236841917037964,0.6772265434265137
bace_spectra_tanimoto_0.10_0,0.1,344,86,0.1528823594563021,0.7253763675689697,0.446601927280426,0.6686046719551086,0.6322600245475769
bace_spectra_tanimoto_0.10_1,0.1,339,85,0.1495388944961732,0.7062023282051086,0.0320000015199184,0.6430678367614746,0.5227973461151123
bace_spectra_tanimoto_0.10_2,0.1,350,88,0.1487048195802913,0.7035398483276367,0.1285714358091354,0.6514285802841187,0.506083607673645
bace_spectra_tanimoto_0.15_0,0.15,225,57,0.1440523944289029,0.7676612138748169,0.4390243887901306,0.6933333277702332,0.6330418586730957
bace_spectra_tanimoto_0.15_1,0.15,231,58,0.1455309121167001,0.7199236750602722,0.4316546618938446,0.6580086350440979,0.6696708798408508
bace_spectra_tanimoto_0.15_2,0.15,224,57,0.1498252857776708,0.7081148624420166,0.2631579041481018,0.625,0.546781599521637
bace_spectra_tanimoto_0.20_0,0.2,151,38,0.1426076287107672,0.6759398579597473,0.0,0.6158940196037292,0.504912257194519
bace_spectra_tanimoto_0.20_1,0.2,156,40,0.1414534431643911,0.656211256980896,0.0,0.6346153616905212,0.445668876171112
bace_spectra_tanimoto_0.20_2,0.2,152,38,0.1419733805909359,0.6276220083236694,0.0,0.7039473652839661,0.3473412990570068
bace_spectra_tanimoto_0.25_0,0.25,97,25,0.1376071532307024,0.6264204382896423,0.0,0.6597937941551208,0.4639918804168701
bace_spectra_tanimoto_0.25_1,0.25,93,24,0.1362727786135746,0.6269510984420776,0.0,0.6666666865348816,0.4043675065040588
bace_spectra_tanimoto_0.25_2,0.25,104,27,0.1376771408994574,0.6589052081108093,0.0,0.6538461446762085,0.4286487102508545
bace_spectra_tanimoto_0.30_0,0.3,79,20,0.1353248773450302,0.6545718312263489,0.0,0.6708860993385315,0.4229175746440887
bace_spectra_tanimoto_0.30_1,0.3,75,19,0.1356732799972632,0.623900294303894,0.0,0.5866666436195374,0.4767529368400574
bace_spectra_tanimoto_0.30_2,0.3,64,17,0.1405876564882171,0.6411960124969482,0.0,0.671875,0.4147033393383026
bace_spectra_tanimoto_0.35_0,0.35,56,15,0.1308251365096914,0.6903821229934692,0.0,0.5892857313156128,0.5308465957641602
bace_spectra_tanimoto_0.35_1,0.35,54,14,0.1309212901172224,0.5972222089767456,0.0,0.6666666865348816,0.3873791694641113
bace_spectra_tanimoto_0.35_2,0.35,52,14,0.1266450246008902,0.7369281053543091,0.0,0.6538461446762085,0.508162796497345
bace_spectra_tanimoto_0.40_0,0.4,37,10,0.1384887396936511,0.6955128312110901,0.0,0.6486486196517944,0.4810143709182739
bace_spectra_tanimoto_0.40_1,0.4,41,11,0.1316390857720765,0.6666666865348816,0.0,0.6585366129875183,0.5086798071861267
bace_spectra_tanimoto_0.40_2,0.4,42,11,0.1311068549957596,0.7569444179534912,0.0,0.5714285969734192,0.5808826684951782
bace_spectra_tanimoto_0.45_0,0.45,33,9,0.1262132557471945,0.6913043260574341,0.0,0.6969696879386902,0.5248123407363892
bace_spectra_tanimoto_0.45_1,0.45,35,9,0.1334797935744179,0.8840579986572266,0.0,0.6571428775787354,0.772013247013092
bace_spectra_tanimoto_0.45_2,0.45,31,8,0.131006650209726,0.7227272391319275,0.0,0.6451612710952759,0.5825984477996826
bace_spectra_tanimoto_0.50_0,0.5,29,8,0.1182215985119607,0.7277777791023254,0.0,0.6896551847457886,0.5986267328262329
bace_spectra_tanimoto_0.50_1,0.5,28,8,0.1098980251938766,0.8055555820465088,0.0,0.6428571343421936,0.553797721862793
bace_spectra_tanimoto_0.50_2,0.5,28,8,0.1295977932122476,0.7823129296302795,0.0,0.75,0.543783962726593
bace_spectra_tanimoto_0.55_0,0.55,22,6,0.1219224475945861,0.7678571939468384,0.0,0.6363636255264282,0.5490846037864685
bace_spectra_tanimoto_0.55_1,0.55,20,5,0.1201519499343931,0.75,0.0,0.699999988079071,0.635085940361023
bace_spectra_tanimoto_0.55_2,0.55,17,5,0.1333991242679071,0.8939394354820251,0.0,0.6470588445663452,0.644245982170105
bace_spectra_tanimoto_0.60_0,0.6,15,4,0.1228737074897465,0.7799999713897705,0.0,0.6666666865348816,0.7146969437599182
bace_spectra_tanimoto_0.60_1,0.6,15,4,0.1284121951841768,0.6851851940155029,0.75,0.6000000238418579,0.774658203125
bace_spectra_tanimoto_0.60_2,0.6,16,5,0.1197296021069763,0.9333333373069764,0.6666666865348816,0.8125,0.929629683494568
bace_spectra_tanimoto_0.65_0,0.65,12,3,0.1360447127070821,0.8611111044883728,0.7272727489471436,0.75,0.8893849849700928
bace_spectra_tanimoto_0.65_1,0.65,13,4,0.1195813444042782,0.75,0.0,0.692307710647583,0.6976686716079712
bace_spectra_tanimoto_0.65_2,0.65,13,4,0.1284275280337952,0.8611111044883728,0.0,0.692307710647583,0.6916666030883789
bace_spectra_tanimoto_0.70_0,0.7,10,3,0.1242263350256533,1.0,0.8235294222831726,0.699999988079071,1.0
bace_spectra_tanimoto_0.70_1,0.7,10,3,0.1122606982191714,0.75,0.4000000059604645,0.699999988079071,0.6672618985176086
bace_spectra_tanimoto_0.70_2,0.7,10,3,0.1455123113841868,0.7916666269302368,0.0,0.6000000238418579,0.793154776096344
bace_spectra_tanimoto_0.75_0,0.75,8,2,0.1426177896891159,0.7333333492279053,0.0,0.625,0.6777777671813965
bace_spectra_tanimoto_0.75_1,0.75,8,2,0.1131362995496706,0.875,0.75,0.75,0.9083333015441896
bace_spectra_tanimoto_0.75_2,0.75,10,3,0.1405551650607956,0.9047619104385376,0.0,0.699999988079071,0.8500000238418579
bace_spectra_tanimoto_0.80_0,0.8,7,2,0.1390142979493935,0.7999999523162842,0.0,0.7142857313156128,0.4166666865348816
bace_spectra_tanimoto_0.80_1,0.8,6,2,0.1407130032820453,0.7777777910232544,0.800000011920929,0.8333333134651184,0.8500000238418579
bace_spectra_tanimoto_0.80_2,0.8,9,3,0.1188633571811482,0.8499999642372131,0.6666666865348816,0.6666666865348816,0.8354166746139526
bace_spectra_tanimoto_0.85_0,0.85,7,2,0.1595897663867524,0.75,0.8888888955116272,0.8571428656578064,0.7666666507720947
bace_spectra_tanimoto_0.85_1,0.85,5,2,0.1644906321048625,1.0,0.0,0.800000011920929,1.0
bace_spectra_tanimoto_0.85_2,0.85,5,2,0.1269180603728927,0.75,0.0,0.800000011920929,0.25
bace_spectra_tanimoto_0.90_0,0.9,4,2,0.1525006316139673,1.0,0.8571428656578064,0.75,1.0
bace_spectra_tanimoto_0.90_1,0.9,5,2,0.0703442975260843,1.0,0.800000011920929,0.800000011920929,1.0
bace_spectra_tanimoto_0.95_2,0.95,4,2,0.13380513036811736,0.0,0.0,1.0,0.5
