,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_tanimoto_0.00_0,0.0,884,222,0.0818937105105079,0.998906433582306,0.7762330174446106,0.7722530364990234
delaney_spectra_tanimoto_0.00_1,0.0,884,222,0.081713755841463,0.908557116985321,0.6773006319999695,0.8123470544815063
delaney_spectra_tanimoto_0.00_2,0.0,884,222,0.081779021916172,0.9363968372344972,0.7213964462280273,0.7994319796562195
delaney_spectra_tanimoto_0.05_0,0.05,513,129,0.0699527365929451,1.3380300998687744,1.0578490495681765,0.5675058960914612
delaney_spectra_tanimoto_0.05_1,0.05,502,126,0.0698290171835174,1.481865406036377,1.1750954389572144,0.4676361680030823
delaney_spectra_tanimoto_0.05_2,0.05,510,128,0.0711083100040366,1.3701859712600708,1.0820789337158203,0.5763499736785889
delaney_spectra_tanimoto_0.10_0,0.1,285,72,0.0599530880648248,1.5510402917861938,1.2698789834976196,0.5181361436843872
delaney_spectra_tanimoto_0.10_1,0.1,301,76,0.0579091912817358,1.5327396392822266,1.206059813499451,0.4283077716827392
delaney_spectra_tanimoto_0.10_2,0.1,290,73,0.0624189209133683,1.521316647529602,1.1877535581588743,0.4427335262298584
delaney_spectra_tanimoto_0.15_0,0.15,188,48,0.0538088837706438,1.6272801160812378,1.2815476655960083,0.3902242183685303
delaney_spectra_tanimoto_0.15_1,0.15,187,47,0.0541524249155479,1.71087384223938,1.3343313932418823,0.3866583108901977
delaney_spectra_tanimoto_0.15_2,0.15,197,50,0.0519603935820842,1.595819354057312,1.2194011211395264,0.3959339261054992
delaney_spectra_tanimoto_0.20_0,0.2,124,31,0.0526295836685305,1.7012304067611694,1.3049370050430298,0.4062731266021728
delaney_spectra_tanimoto_0.20_1,0.2,134,34,0.0498560511020167,1.622736930847168,1.2783465385437012,0.4209404587745666
delaney_spectra_tanimoto_0.20_2,0.2,120,30,0.0498718998749439,1.7329339981079102,1.3188884258270264,0.3312790393829345
delaney_spectra_tanimoto_0.25_0,0.25,94,24,0.0495166152251392,1.7103514671325684,1.358714580535889,0.3772644400596618
delaney_spectra_tanimoto_0.25_1,0.25,97,25,0.0464501081403155,1.7062667608261108,1.326685905456543,0.4912410378456116
delaney_spectra_tanimoto_0.25_2,0.25,90,23,0.0513503041446251,1.560999035835266,1.2635836601257324,0.4527791142463684
delaney_spectra_tanimoto_0.30_0,0.3,76,19,0.0501096859927969,1.7127563953399658,1.3036247491836548,0.4462714195251465
delaney_spectra_tanimoto_0.30_1,0.3,73,19,0.0388867626655304,1.8919907808303833,1.4128565788269043,0.3045505285263061
delaney_spectra_tanimoto_0.30_2,0.3,64,16,0.046074166282646,1.5429433584213257,1.1927671432495115,0.3142715096473694
delaney_spectra_tanimoto_0.35_0,0.35,59,15,0.0434744856394134,2.0603697299957275,1.5708659887313845,0.341032326221466
delaney_spectra_tanimoto_0.35_1,0.35,57,15,0.0442935129920319,2.044638395309448,1.5155104398727417,0.3059284687042236
delaney_spectra_tanimoto_0.35_2,0.35,55,14,0.0425075476379827,2.068641662597656,1.555171012878418,0.3199981451034546
delaney_spectra_tanimoto_0.40_0,0.4,46,12,0.0387128207631835,1.7572897672653198,1.4107801914215088,0.4190303087234497
delaney_spectra_tanimoto_0.40_1,0.4,44,11,0.0422594302528637,1.867051362991333,1.2703419923782349,0.4687313437461853
delaney_spectra_tanimoto_0.40_2,0.4,45,12,0.0362455017956455,1.869515299797058,1.4516371488571167,0.3741911053657532
delaney_spectra_tanimoto_0.45_0,0.45,32,9,0.0471373249366702,1.573784589767456,1.2030389308929443,0.3681610226631164
delaney_spectra_tanimoto_0.45_1,0.45,33,9,0.0471771998099701,1.8723050355911257,1.4075531959533691,0.2729207277297973
delaney_spectra_tanimoto_0.45_2,0.45,28,8,0.0455467609829932,1.7384682893753052,1.3191190958023071,0.5395646691322327
delaney_spectra_tanimoto_0.50_0,0.5,28,8,0.0355494831926348,1.1821448802947998,1.0052392482757568,0.4493952393531799
delaney_spectra_tanimoto_0.50_1,0.5,27,7,0.0439091086366457,1.413760781288147,1.1374601125717163,0.5322478413581848
delaney_spectra_tanimoto_0.50_2,0.5,28,8,0.0539698458630066,1.662751317024231,1.4052245616912842,0.2385973930358886
delaney_spectra_tanimoto_0.55_0,0.55,21,6,0.0325197096472259,1.5957540273666382,1.4009120464324951,0.3722684979438782
delaney_spectra_tanimoto_0.55_1,0.55,21,6,0.0377884509103849,1.2862963676452637,1.05231511592865,0.4789466261863708
delaney_spectra_tanimoto_0.55_2,0.55,26,7,0.0374029254948789,2.0195322036743164,1.5953668355941772,0.3393447399139404
delaney_spectra_tanimoto_0.60_0,0.6,19,5,0.0338639303307662,1.329220414161682,1.0097748041152954,0.5199512243270874
delaney_spectra_tanimoto_0.60_1,0.6,20,5,0.0352598359223606,2.339221954345703,1.6428298950195312,0.2642290592193603
delaney_spectra_tanimoto_0.60_2,0.6,20,5,0.0245140249092768,1.3814783096313477,1.1563429832458496,0.3880425095558166
delaney_spectra_tanimoto_0.65_0,0.65,13,4,0.0330147784971332,2.2329704761505127,1.5948636531829834,0.4138022065162658
delaney_spectra_tanimoto_0.65_1,0.65,15,4,0.0346853395499055,1.384917974472046,1.0555187463760376,0.3541595339775085
delaney_spectra_tanimoto_0.65_2,0.65,16,4,0.026014560917182,1.251670241355896,0.9043523073196412,0.451440691947937
delaney_spectra_tanimoto_0.70_0,0.7,13,4,0.028749659519956,1.5566483736038208,1.0406123399734497,0.5390206575393677
delaney_spectra_tanimoto_0.70_1,0.7,12,4,0.0351612868817805,1.6710931062698364,1.1626591682434082,0.3047687411308288
delaney_spectra_tanimoto_0.70_2,0.7,11,3,0.0168193843638522,1.4567365646362305,1.0520466566085815,0.4943574070930481
delaney_spectra_tanimoto_0.75_0,0.75,12,3,0.0248917748917748,0.6851598024368286,0.5053505897521973,0.8543587923049927
delaney_spectra_tanimoto_0.75_1,0.75,11,3,0.0446449879375352,1.1437368392944336,0.8425279259681702,0.5339722633361816
