,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
freesolv_spectra_tanimoto_0.00_0,0.0,512,129,0.0783847327941085,1.7300026416778564,1.3761674165725708,0.7945079803466797
freesolv_spectra_tanimoto_0.00_1,0.0,512,129,0.0780825453812713,1.8352757692337036,1.445213794708252,0.7753485441207886
freesolv_spectra_tanimoto_0.00_2,0.0,512,129,0.0766044861808604,1.7968034744262695,1.4152125120162964,0.7804473638534546
freesolv_spectra_tanimoto_0.05_0,0.05,354,89,0.0694176870074436,2.516690492630005,2.004148244857788,0.6430889368057251
freesolv_spectra_tanimoto_0.05_1,0.05,333,84,0.0679786018221503,2.535529851913452,1.963351249694824,0.649261474609375
freesolv_spectra_tanimoto_0.05_2,0.05,341,86,0.0688067540479996,2.0907483100891113,1.6992318630218506,0.7566046714782715
freesolv_spectra_tanimoto_0.10_0,0.1,221,56,0.0548266699166953,3.2467339038848877,2.4487826824188232,0.4283832311630249
freesolv_spectra_tanimoto_0.10_1,0.1,208,52,0.059620061690533,3.4997756481170654,2.547796726226806,0.3727322816848755
freesolv_spectra_tanimoto_0.10_2,0.1,217,55,0.0623601597148485,3.124042272567749,2.319432497024536,0.4424344897270202
freesolv_spectra_tanimoto_0.15_0,0.15,144,36,0.0511176355930074,3.692962884902954,2.6474528312683105,0.2353773117065429
freesolv_spectra_tanimoto_0.15_1,0.15,138,35,0.0527855307880395,4.060363292694092,2.9226245880126953,0.266425609588623
freesolv_spectra_tanimoto_0.15_2,0.15,143,36,0.0520061535484325,3.764158964157105,2.7339823246002197,0.3184831142425537
freesolv_spectra_tanimoto_0.20_0,0.2,103,26,0.0459549335380251,4.354887962341309,3.093714475631714,0.1740983128547668
freesolv_spectra_tanimoto_0.20_1,0.2,108,28,0.0459663541596374,4.016204357147217,2.7303876876831055,0.2886783480644226
freesolv_spectra_tanimoto_0.20_2,0.2,112,29,0.0442171621617903,4.21668815612793,3.0490570068359375,0.1983066201210022
freesolv_spectra_tanimoto_0.25_0,0.25,79,20,0.0426955482037224,4.177792072296143,2.9243128299713135,0.2138927578926086
freesolv_spectra_tanimoto_0.25_1,0.25,84,21,0.0415912490956496,3.6953883171081543,2.7719192504882812,0.3182569742202759
freesolv_spectra_tanimoto_0.25_2,0.25,79,20,0.0427049437278709,4.228652000427246,3.0792605876922607,0.2534958124160766
freesolv_spectra_tanimoto_0.30_0,0.3,53,14,0.0461801628361793,5.0891032218933105,3.470335006713867,0.1552683711051941
freesolv_spectra_tanimoto_0.30_1,0.3,60,15,0.0483333426508233,4.0687055587768555,3.1464059352874756,0.1595447659492492
freesolv_spectra_tanimoto_0.30_2,0.3,53,14,0.0435063410949009,4.11803674697876,2.973840713500977,0.1841681599617004
freesolv_spectra_tanimoto_0.35_0,0.35,42,11,0.045263341365441,4.6901679039001465,3.542125940322876,0.1113334894180297
freesolv_spectra_tanimoto_0.35_1,0.35,38,10,0.0364753694929584,4.516255855560303,2.9549686908721924,0.0800117254257202
freesolv_spectra_tanimoto_0.35_2,0.35,40,10,0.0372928305886359,3.604969024658203,2.694204807281494,0.341694176197052
freesolv_spectra_tanimoto_0.40_0,0.4,40,10,0.0343683323026244,3.796229600906372,3.1209137439727783,0.117495596408844
freesolv_spectra_tanimoto_0.40_1,0.4,39,10,0.0295262614135504,3.920987129211426,2.895289897918701,0.0285525321960449
freesolv_spectra_tanimoto_0.40_2,0.4,28,8,0.0502119932635916,3.717788219451904,2.935762405395508,0.3675300478935241
freesolv_spectra_tanimoto_0.45_0,0.45,27,7,0.030101859652064,2.8896241188049316,2.2676687240600586,0.0551040768623352
freesolv_spectra_tanimoto_0.45_1,0.45,27,7,0.0417617850469706,4.749622344970703,3.0521936416625977,0.151655912399292
freesolv_spectra_tanimoto_0.45_2,0.45,24,7,0.0448673995894947,5.097083568572998,3.8223876953125,0.2761682868003845
freesolv_spectra_tanimoto_0.50_0,0.5,24,6,0.0305915578766481,4.032487392425537,2.7595055103302,-0.0388058423995971
