,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
lipo_spectra_tanimoto_0.00_0,0.0,3360,840,0.1300016515442223,0.6611899733543396,0.5132350921630859,0.6917493343353271
lipo_spectra_tanimoto_0.00_1,0.0,3360,840,0.1294474500528298,0.6805135011672974,0.5322129130363464,0.6846667528152466
lipo_spectra_tanimoto_0.00_2,0.0,3360,840,0.1302794290116022,0.6786943674087524,0.522169828414917,0.683221697807312
lipo_spectra_tanimoto_0.05_0,0.05,1120,280,0.1145758673623577,1.140056014060974,0.9085320830345154,0.1673088669776916
lipo_spectra_tanimoto_0.05_1,0.05,1136,285,0.1151882460094051,1.054513692855835,0.8588207364082336,0.258532166481018
lipo_spectra_tanimoto_0.05_2,0.05,1126,282,0.1135451054518753,1.1017522811889648,0.8941065073013306,0.2324127554893493
lipo_spectra_tanimoto_0.10_0,0.1,540,136,0.1048820541178812,1.1904385089874268,0.9676116704940796,0.1092057824134826
lipo_spectra_tanimoto_0.10_1,0.1,566,142,0.1072158098207418,1.200837254524231,0.9876262545585632,0.1256932616233825
lipo_spectra_tanimoto_0.10_2,0.1,555,139,0.1053216157902989,1.2240805625915527,1.0032987594604492,0.1082750558853149
lipo_spectra_tanimoto_0.15_0,0.15,333,84,0.1031982766516447,1.2213078737258911,0.9686943888664246,0.1090646982192993
lipo_spectra_tanimoto_0.15_1,0.15,324,82,0.1008534596351594,1.249815583229065,0.9955918192863464,0.0715603828430175
lipo_spectra_tanimoto_0.15_2,0.15,324,81,0.1021203047934051,1.24692702293396,1.0133551359176636,0.0763776302337646
lipo_spectra_tanimoto_0.20_0,0.2,227,57,0.0984914724188486,1.2479327917099,1.0289989709854126,0.0963154435157775
lipo_spectra_tanimoto_0.20_1,0.2,231,58,0.0981684230064892,1.2074601650238037,0.9871822595596312,0.0717545747756958
lipo_spectra_tanimoto_0.20_2,0.2,216,55,0.0974010821332702,1.2719378471374512,1.034974455833435,0.0877253413200378
lipo_spectra_tanimoto_0.25_0,0.25,144,36,0.0953766954024715,1.375195026397705,1.1487656831741333,0.0577369928359985
lipo_spectra_tanimoto_0.25_1,0.25,160,40,0.0942587551172541,1.3308727741241455,1.096372365951538,0.0411674380302429
lipo_spectra_tanimoto_0.25_2,0.25,163,41,0.0952909033872406,1.3290940523147583,1.100484848022461,0.1156138181686401
lipo_spectra_tanimoto_0.30_0,0.3,124,32,0.0946288873391642,1.2836291790008545,1.0424035787582395,0.0580305457115173
lipo_spectra_tanimoto_0.30_1,0.3,125,32,0.0919950739484733,1.3478407859802246,1.11576509475708,0.0717911124229431
lipo_spectra_tanimoto_0.30_2,0.3,117,30,0.0920181344020046,1.123931646347046,0.9436126351356506,0.0993918776512146
lipo_spectra_tanimoto_0.35_0,0.35,89,23,0.0917721522864226,1.4105124473571775,1.1291786432266235,0.1293858289718628
lipo_spectra_tanimoto_0.35_1,0.35,99,25,0.0895478254031194,1.226921558380127,0.980139970779419,0.0832101702690124
lipo_spectra_tanimoto_0.35_2,0.35,89,23,0.0880212030530732,1.054973840713501,0.8576173186302185,0.0559568405151367
lipo_spectra_tanimoto_0.40_0,0.4,69,18,0.0905250071960378,1.2732640504837036,1.0078877210617063,0.0696452260017395
lipo_spectra_tanimoto_0.40_1,0.4,68,17,0.0860503046413026,1.3251091241836548,1.0675474405288696,0.0744395852088928
lipo_spectra_tanimoto_0.40_2,0.4,75,19,0.0835406745409815,1.1928541660308838,0.9756907224655152,0.0975218415260315
lipo_spectra_tanimoto_0.45_0,0.45,62,16,0.0874033377084789,1.2672991752624512,1.0514849424362185,0.0675314664840698
