,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.00_0,0.0,1141,286,0.0949960434153769,0.8295730352401733,0.8082019090652466,0.7631707191467285,0.8490846157073975
sider_spectra_tanimoto_0.00_1,0.0,1141,286,0.0953662386950199,0.8285378217697144,0.806718647480011,0.765053391456604,0.8517342805862427
sider_spectra_tanimoto_0.00_2,0.0,1141,286,0.0960516822003068,0.8306284546852112,0.8088482618331909,0.7638199329376221,0.8477243185043335
sider_spectra_tanimoto_0.05_0,0.05,600,150,0.0785587718061459,0.8221927881240845,0.8004471659660339,0.7575926184654236,0.8372193574905396
sider_spectra_tanimoto_0.05_1,0.05,604,151,0.0806462488275343,0.8240516781806946,0.7996745109558105,0.758462131023407,0.8364307880401611
sider_spectra_tanimoto_0.05_2,0.05,611,153,0.0798685694658798,0.8222014904022217,0.801943838596344,0.7578953504562378,0.8360801935195923
sider_spectra_tanimoto_0.10_0,0.1,335,84,0.0664683459573742,0.827618420124054,0.7950966358184814,0.7597567439079285,0.8303225636482239
sider_spectra_tanimoto_0.10_1,0.1,336,84,0.066420830344408,0.8139963150024414,0.7800418734550476,0.7453703880310059,0.8125611543655396
sider_spectra_tanimoto_0.10_2,0.1,348,88,0.0650831603091541,0.8082302808761597,0.7743778824806213,0.7394636273384094,0.8069485425949097
sider_spectra_tanimoto_0.15_0,0.15,236,59,0.0542481164196293,0.8104828596115112,0.7709650993347168,0.7385436296463013,0.8086913228034973
sider_spectra_tanimoto_0.15_1,0.15,237,60,0.0552841306342365,0.8171555995941162,0.7917964458465576,0.7493358254432678,0.8284960985183716
sider_spectra_tanimoto_0.15_2,0.15,232,58,0.0591165838394021,0.8050915002822876,0.7724288702011108,0.7343550324440002,0.8106441497802734
sider_spectra_tanimoto_0.20_0,0.2,176,45,0.0489938884399089,0.8138512372970581,0.771974503993988,0.7363215684890747,0.8145220279693604
sider_spectra_tanimoto_0.20_1,0.2,174,44,0.0499974021091015,0.7966307997703552,0.750047504901886,0.7200936675071716,0.778712272644043
sider_spectra_tanimoto_0.20_2,0.2,169,43,0.0502379917342109,0.8214862942695618,0.7871904969215393,0.7495068907737732,0.828152060508728
sider_spectra_tanimoto_0.25_0,0.25,130,33,0.0366304503892396,0.7968814373016357,0.7541561722755432,0.7219372987747192,0.786689281463623
sider_spectra_tanimoto_0.25_1,0.25,127,32,0.0405026690536904,0.8018554449081421,0.7498658299446106,0.7282006144523621,0.7760239839553833
sider_spectra_tanimoto_0.25_2,0.25,134,34,0.044320084815634,0.8118190169334412,0.7675096988677979,0.7357656359672546,0.8070825338363647
sider_spectra_tanimoto_0.30_0,0.3,111,28,0.0352533494421785,0.7973240613937378,0.7486171126365662,0.7270603775978088,0.7756541967391968
sider_spectra_tanimoto_0.30_1,0.3,112,29,0.0298105529874909,0.8135823607444763,0.7523780465126038,0.733134925365448,0.7969167232513428
sider_spectra_tanimoto_0.30_2,0.3,109,28,0.0326318980685838,0.7748907804489136,0.7201026082038879,0.7033638954162598,0.7375253438949585
sider_spectra_tanimoto_0.35_0,0.35,92,24,0.0346922539920206,0.8148760199546814,0.7505454421043396,0.7238325476646423,0.7995036840438843
sider_spectra_tanimoto_0.35_1,0.35,96,25,0.0241604336035395,0.7879380583763123,0.7249907851219177,0.7125771641731262,0.7614418268203735
sider_spectra_tanimoto_0.35_2,0.35,97,25,0.0291430639531704,0.7969636917114258,0.7371864914894104,0.7239404320716858,0.7742513418197632
sider_spectra_tanimoto_0.40_0,0.4,76,20,0.0302559469896505,0.8083266019821167,0.7464852333068848,0.7275828719139099,0.7876545190811157
sider_spectra_tanimoto_0.40_1,0.4,80,21,0.0253000781391221,0.8190882205963135,0.7583262324333191,0.7379629611968994,0.826926589012146
sider_spectra_tanimoto_0.40_2,0.4,72,19,0.0240858622820237,0.7779169082641602,0.7194458246231079,0.7083333134651184,0.7482690215110779
sider_spectra_tanimoto_0.45_0,0.45,68,18,0.021612127160904,0.7681759595870972,0.6107527017593384,0.7042483687400818,0.6823258996009827
sider_spectra_tanimoto_0.45_1,0.45,65,17,0.0205884395212443,0.7839106321334839,0.7041763067245483,0.7048611044883728,0.7375106811523438
sider_spectra_tanimoto_0.45_2,0.45,68,17,0.0239546875251845,0.7828776836395264,0.6972157955169678,0.7156862616539001,0.7167622447013855
sider_spectra_tanimoto_0.50_0,0.5,62,16,0.0189989224577199,0.7678844332695007,0.6761474013328552,0.7007168531417847,0.711310863494873
sider_spectra_tanimoto_0.50_1,0.5,65,17,0.0192691196396622,0.7572276592254639,0.6760736107826233,0.6944444179534912,0.686442494392395
