AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[1376, 196, 393]",0.901260495185852,0.8887699842453003,0.8877387046813965,0.8934683203697205,0.8605806827545166
0.00_1,"[1376, 196, 393]",0.9057496786117554,0.87917160987854,0.875684916973114,0.9043976664543152,0.9020493626594543
0.00_2,"[1376, 196, 393]",0.9072696566581726,0.8952218294143677,0.8919112682342529,0.8827304244041443,0.8860409259796143
0.05_0,"[656, 93, 188]",0.8794202208518982,0.8859421014785767,0.8902899026870728,0.8736231923103333,0.8518840074539185
0.05_1,"[657, 93, 188]",0.8660862445831299,0.8699557781219482,0.8482587337493896,0.8727197647094727,0.8840519189834595
0.05_2,"[646, 92, 185]",0.7917082905769348,0.7937062978744507,0.7808858156204224,0.7747252583503723,0.7997002601623535
0.10_0,"[352, 50, 101]",0.8803802728652954,0.8848848342895508,0.9049049615859985,0.8588588237762451,0.8608608245849609
0.10_1,"[343, 48, 98]",0.8087606430053711,0.8141025304794312,0.8311965465545654,0.7825855016708374,0.7756409645080566
0.10_2,"[346, 49, 99]",0.8594444990158081,0.8733333349227905,0.8722223043441772,0.8922221660614014,0.8755555748939514
0.15_0,"[219, 31, 63]",0.7813953757286072,0.7930232882499695,0.8500000238418579,0.7976744174957275,0.7749999761581421
0.15_1,"[231, 32, 66]",0.7983192801475525,0.7875149250030518,0.8523409366607666,0.7755101919174194,0.7791116833686829
0.15_2,"[222, 31, 64]",0.7757142782211304,0.7314285635948181,0.5171428322792053,0.7585713863372803,0.6299999952316284
0.20_0,"[156, 22, 45]",0.7887930870056152,0.85129314661026,0.8469827175140381,0.857758641242981,0.829741358757019
0.20_1,"[160, 22, 46]",0.7566964626312256,0.7299107313156128,0.8995535969734192,0.7723214626312256,0.8593749403953552
0.20_2,"[154, 22, 44]",0.8567708730697632,0.8463541269302368,0.8072916865348816,0.828125,0.8411458730697632
0.25_0,"[116, 16, 33]",0.3888888955116272,0.3009259104728699,0.1527777761220932,0.25925925374031067,0.14351850748062134
0.25_1,"[112, 16, 32]",0.8136364221572876,0.7999999523162842,0.7454544901847839,0.8090909719467163,0.7590909004211426
0.25_2,"[112, 15, 32]",0.7481481432914734,0.9925925731658936,0.9703704118728638,0.9925925731658936,0.9629629850387573
0.30_0,"[84, 12, 25]",0.7899999618530273,0.8199999928474426,0.7799999713897705,0.8300000429153442,0.7799999713897705
0.30_1,"[93, 13, 27]",0.22727271914482117,0.9818181991577148,0.9818181991577148,0.22727271914482117,0.8545454740524292
0.30_2,"[94, 13, 27]",0.24074074625968933,0.3086419701576233,0.20370370149612427,0.22839507460594177,0.23456791043281555
0.35_0,"[76, 10, 22]",0.7017543911933899,0.45614033937454224,0.38596490025520325,0.7543859481811523,0.5087718963623047
0.35_1,"[73, 10, 21]",0.3687499761581421,0.6437499523162842,0.4999999701976776,0.5874999761581421,0.5999999642372131
0.35_2,"[74, 10, 21]",0.798076868057251,0.7307692766189575,0.7403846383094788,0.8461538553237915,0.759615421295166
0.40_0,"[59, 8, 17]",0.807692289352417,0.11538461595773697,0.07692307978868484,0.057692307978868484,0.11538461595773697
0.40_1,"[57, 8, 17]",0.9375,0.9375,0.9375,0.9375,0.9375
0.40_2,"[58, 8, 17]",0.738095223903656,1.0,0.261904776096344,0.8095238208770752,0.9523809552192688
0.45_0,"[49, 7, 14]",0.4166666567325592,1.0,0.25,0.1666666716337204,0.9583333730697632
0.45_1,"[53, 7, 15]",0.7400000095367432,0.7099999785423279,0.7400000095367432,0.7799999713897705,0.75
0.45_2,"[50, 7, 15]",0.3399999737739563,0.5600000023841858,0.3399999737739563,0.5,0.37999996542930603
0.50_0,"[42, 5, 12]",0.375,0.59375,0.71875,0.46875,0.59375
0.50_1,"[38, 5, 11]",0.5,0.800000011920929,0.800000011920929,0.800000011920929,0.699999988079071
0.50_2,"[39, 5, 11]",0.3333333134651184,0.46666666865348816,0.40000003576278687,0.2666666805744171,0.3333333432674408
0.55_0,"[35, 4, 10]",0.25,0.53125,0.25,0.5625,0.25
0.55_1,"[35, 5, 10]",0.0,0.0,0.0,0.0,0.0
0.55_2,"[33, 4, 10]",1.0,1.0,1.0,1.0,1.0
0.60_0,"[31, 4, 9]",0.25,0.125,1.0,1.0,0.0
0.60_1,"[32, 4, 10]",0.2857142984867096,0.2857142984867096,0.2857142686843872,0.2142857164144516,0.4285714030265808
0.60_2,"[25, 3, 8]",0.4166666567325592,0.0,0.4166666567325592,0.0,0.6666666269302368
0.65_0,"[21, 3, 6]",0.375,0.5,0.375,0.3125,0.25
0.65_1,"[25, 3, 7]",0.0,0.0,0.0,0.0,0.0
0.65_2,"[24, 3, 7]",0.25,0.1666666716337204,0.3333333432674408,0.25,0.25
0.70_0,"[20, 2, 6]",0.625,0.375,0.25,0.375,0.25
0.70_1,"[21, 2, 6]",0.3333333432674408,0.3333333432674408,0.5555555820465088,0.5555555820465088,0.5555555820465088
0.70_2,"[21, 3, 7]",0.5,0.5,0.0833333358168602,0.5,0.25
0.75_0,"[18, 2, 5]",0.0,0.0,0.0,0.0,0.0
0.75_1,"[18, 2, 5]",0.0,0.0,0.0,0.0,0.0
0.75_2,"[18, 2, 6]",0.800000011920929,0.800000011920929,0.6000000238418579,0.6000000238418579,0.4000000059604645
0.80_0,"[12, 1, 4]",,,,,
0.80_1,"[14, 1, 4]",,,,,
0.80_2,"[14, 1, 4]",,,,,
0.85_0,"[9, 1, 3]",,,,,
0.85_1,"[10, 1, 3]",,,,,
0.85_2,"[8, 1, 3]",,,,,
0.90_0,"[7, 1, 2]",,,,,
0.90_1,"[7, 1, 2]",,,,,
0.90_2,"[11, 1, 3]",,,,,
0.95_0,"[7, 1, 3]",,,,,
0.95_1,"[7, 0, 2]",,,,,
0.95_2,"[7, 1, 2]",,,,,
1.00_0,"[4, 0, 2]",,,,,
