AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[5476, 782, 1565]",0.8288043141365051,0.8249709606170654,0.8355737328529358,0.8513896465301514,0.8446142077445984
0.00_1,"[5476, 782, 1565]",0.8458058834075928,0.8474252820014954,0.8668476939201355,0.8594813942909241,0.8521752953529358
0.00_2,"[5476, 782, 1565]",0.8190339207649231,0.8216697573661804,0.8209308981895447,0.8149728178977966,0.8192417621612549
0.05_0,"[1630, 232, 466]",0.7389922738075256,0.7529357075691223,0.7717589735984802,0.7440055012702942,0.7487322688102722
0.05_1,"[1677, 239, 479]",0.7651107311248779,0.8274661898612976,0.7902852892875671,0.7899963855743408,0.7901758551597595
0.05_2,"[1880, 235, 471]",0.7878370881080627,0.7989000678062439,0.7955503463745117,0.8063516616821289,0.7750722765922546
0.10_0,"[864, 108, 217]",0.7013447880744934,0.7560432553291321,0.7456367611885071,0.7195873260498047,0.7014989852905273
0.10_1,"[883, 110, 221]",0.7977812886238098,0.7744261622428894,0.7033764719963074,0.8211320042610168,0.8128275275230408
0.10_2,"[866, 108, 217]",0.6990242600440979,0.6986950039863586,0.7407254576683044,0.6669666171073914,0.718087375164032
0.15_0,"[504, 63, 126]",0.6864760518074036,0.7226186394691467,0.6711363196372986,0.6571323275566101,0.7493190169334412
0.15_1,"[511, 63, 128]",0.6651105284690857,0.7605012059211731,0.7218770384788513,0.7636528015136719,0.6950607895851135
0.15_2,"[517, 64, 130]",0.6699108481407166,0.6078506112098694,0.6562516093254089,0.6748430132865906,0.6765451431274414
0.20_0,"[336, 42, 85]",0.7435080409049988,0.7816206812858582,0.7241763472557068,0.7029135227203369,0.7449169754981995
0.20_1,"[348, 43, 87]",0.5706884264945984,0.5384292006492615,0.4928518235683441,0.49606871604919434,0.5496023297309875
0.20_2,"[350, 43, 88]",0.6838613152503967,0.6668574213981628,0.6677699089050293,0.7418909668922424,0.6283264756202698
0.25_0,"[254, 31, 64]",0.6281752586364746,0.5604291558265686,0.6116740107536316,0.5662444233894348,0.5767742991447449
0.25_1,"[248, 31, 62]",0.6685271263122559,0.6084403991699219,0.6091430187225342,0.6279690861701965,0.5478461384773254
0.25_2,"[242, 30, 61]",0.5986189246177673,0.5018370747566223,0.5840617418289185,0.5151196718215942,0.5092767477035522
0.30_0,"[188, 23, 47]",0.5086213946342468,0.4693182408809662,0.38366711139678955,0.4781666696071625,0.4419211447238922
0.30_1,"[182, 22, 46]",0.3877839744091034,0.3990184962749481,0.4272019863128662,0.4882190227508545,0.43970200419425964
