SPECTRA_parameter,AUC,SD
0,0.606789295,0.011809632
0.05,0.543451599,0.008800415
0.1,0.539407142,0.040010426
0.15,0.594400895,0.02875046
0.2,0.555907991,0.025841766
0.25,0.548387327,0.028193919
0.3,0.530394699,0.035694634
0.35,0.49981613,0.039880052
0.4,0.509470248,0.029630254
0.45,0.557280384,0.05560792
0.5,0.487726541,0.042551555
0.55,0.527008003,0.041720775
0.6,0.471509818,0.066851911
0.65,0.464784185,0.026850143
0.7,0.481350005,0.033801176
0.75,0.540348518,0.039579506
0.8,0.458626292,0.039374638
0.85,0.385224863,0.043431603
0.9,0.340658436,0.062171988
0.95,0.394197528,0.026365669
1,0.367434851,0.046137463
