AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[1059, 151, 303]",0.8874338269233704,0.8641975522041321,0.899118185043335,0.892372190952301,0.894444465637207
0.00_1,"[1059, 151, 303]",0.9040170907974243,0.8668525815010071,0.8426280617713928,0.8835830688476562,0.8768298625946045
0.00_2,"[1059, 151, 303]",0.8267797231674194,0.8380081653594971,0.8554944396018982,0.8412923216819763,0.8607758283615112
0.05_0,"[525, 75, 151]",0.6950819492340088,0.7976320385932922,0.8007286190986633,0.8378870487213135,0.7183970808982849
0.05_1,"[536, 76, 153]",0.8665366768836975,0.8849698305130005,0.8498759269714355,0.7646225094795227,0.8520028591156006
0.05_2,"[532, 76, 153]",0.780375599861145,0.7786266803741455,0.7838733196258545,0.7555228471755981,0.7133653163909912
0.10_0,"[301, 43, 86]",0.8177339434623718,0.841748833656311,0.8306649327278137,0.8312808275222778,0.7986453175544739
0.10_1,"[297, 42, 85]",0.8454646468162537,0.8006719350814819,0.7782754898071289,0.8051512241363525,0.8902575373649597
0.10_2,"[307, 43, 88]",0.8434828519821167,0.7510684132575989,0.7633546590805054,0.8862179517745972,0.8595085144042969
0.15_0,"[197, 28, 57]",0.6269841194152832,0.7023809552192688,0.6203703880310059,0.6375661492347717,0.658730149269104
0.15_1,"[203, 28, 58]",0.7773279547691345,0.7840754985809326,0.7759784460067749,0.7800270318984985,0.7638326287269592
0.15_2,"[196, 28, 57]",0.6944444179534912,0.7275132536888123,0.7288359999656677,0.7023809552192688,0.7301587462425232
0.20_0,"[133, 18, 38]",0.5182072520256042,0.6050419807434082,0.3781512379646301,0.5798318982124329,0.5462185144424438
0.20_1,"[137, 19, 40]",0.7680250406265259,0.41379308700561523,0.561128556728363,0.7617554664611816,0.6081504225730896
0.20_2,"[133, 19, 38]",0.638655424118042,0.83753502368927,0.725490152835846,0.680672287940979,0.756302535533905
0.25_0,"[85, 12, 25]",0.0705128163099289,0.08974358439445496,0.8333333134651184,0.7307692170143127,0.5448718070983887
0.25_1,"[82, 11, 24]",0.2071428745985031,0.23571428656578064,0.34999996423721313,0.18571430444717407,0.25
0.25_2,"[91, 13, 27]",0.1306818127632141,0.7159091234207153,0.16477273404598236,0.1818181872367859,0.1818181872367859
0.30_0,"[70, 9, 20]",0.4895833134651184,0.46875,0.5,0.6145833134651184,0.4479166865348816
0.30_1,"[66, 9, 19]",0.13333332538604736,0.5666667222976685,0.1666666716337204,0.14444445073604584,0.14444445073604584
0.30_2,"[56, 8, 17]",0.7142857313156128,0.7142857313156128,0.6904761791229248,0.7142857313156128,0.7142857313156128
0.35_0,"[49, 7, 15]",0.6111111044883728,0.703703761100769,0.6666666865348816,0.6666666269302368,0.6481481790542603
0.35_1,"[48, 6, 14]",0.2916666567325592,0.2916666567325592,0.3124999701976776,0.2916666567325592,0.2708333134651184
0.35_2,"[46, 6, 14]",0.31111109256744385,0.37777775526046753,0.3333333134651184,0.3333333134651184,0.3333333134651184
0.40_0,"[33, 4, 10]",,,,,
0.40_1,"[36, 5, 11]",0.5714285969734192,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.5714285969734192
0.40_2,"[37, 5, 11]",0.75,0.7142857313156128,0.5357142686843872,0.3214285671710968,0.5
0.45_0,"[29, 4, 9]",0.6111111044883728,0.2777777910232544,0.6111111044883728,0.2222222089767456,0.1666666716337204
0.45_1,"[31, 4, 9]",0.6500000357627869,0.824999988079071,0.800000011920929,0.8500000238418579,0.6499999761581421
0.45_2,"[28, 3, 8]",1.0,0.5,1.0,1.0,0.75
0.50_0,"[26, 3, 8]",0.6000000238418579,0.6666666865348816,0.6000000238418579,0.5333333611488342,0.5333333611488342
0.50_1,"[25, 3, 8]",1.0,1.0,0.8571428060531616,1.0,1.0
0.50_2,"[25, 3, 8]",0.1666666865348816,0.1666666865348816,0.1666666865348816,0.25,0.1666666865348816
0.55_0,"[20, 2, 6]",0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
0.55_1,"[18, 2, 5]",0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
0.55_2,"[15, 2, 5]",0.0,0.0,0.0,0.0,0.0
0.60_0,"[14, 1, 4]",,,,,
0.60_1,"[14, 1, 4]",,,,,
0.60_2,"[14, 2, 5]",0.8333333730697632,0.8333333730697632,1.0,0.8333333730697632,0.8333333730697632
0.65_0,"[11, 1, 3]",,,,,
0.65_1,"[12, 1, 4]",,,,,
0.65_2,"[12, 1, 4]",,,,,
0.70_0,"[9, 1, 3]",,,,,
0.70_1,"[9, 1, 3]",,,,,
0.70_2,"[9, 1, 3]",,,,,
0.75_0,"[7, 1, 2]",,,,,
0.75_1,"[7, 1, 2]",,,,,
0.75_2,"[9, 1, 3]",,,,,
0.80_0,"[7, 0, 2]",,,,,
0.80_1,"[6, 0, 2]",,,,,
0.80_2,"[8, 1, 3]",,,,,
0.85_0,"[7, 0, 2]",,,,,
0.85_1,"[5, 0, 2]",,,,,
0.85_2,"[5, 0, 2]",,,,,
0.90_0,"[4, 0, 2]",,,,,
0.90_1,"[5, 0, 2]",,,,,
0.95_2,"[4, 0, 2]",,,,,
