index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
bace_spectra_tanimoto_SP_0.00_0,1059,151,303,0.00,0.17558568715179665
bace_spectra_tanimoto_SP_0.00_1,1059,151,303,0.00,0.17608612826532644
bace_spectra_tanimoto_SP_0.00_2,1059,151,303,0.00,0.17473298719700026
bace_spectra_tanimoto_SP_0.05_0,525,75,151,0.05,0.16100844889189234
bace_spectra_tanimoto_SP_0.05_1,536,76,153,0.05,0.1621930391636111
bace_spectra_tanimoto_SP_0.05_2,532,76,153,0.05,0.15922567744382676
bace_spectra_tanimoto_SP_0.10_0,301,43,86,0.10,0.1520539771626134
bace_spectra_tanimoto_SP_0.10_1,297,42,85,0.10,0.14943654911708293
bace_spectra_tanimoto_SP_0.10_2,307,43,88,0.10,0.14896638452678113
bace_spectra_tanimoto_SP_0.15_0,197,28,57,0.15,0.1437298720129493
bace_spectra_tanimoto_SP_0.15_1,203,28,58,0.15,0.14490691338247688
bace_spectra_tanimoto_SP_0.15_2,196,28,57,0.15,0.15019468156493332
bace_spectra_tanimoto_SP_0.20_0,133,18,38,0.20,0.14301026706312167
bace_spectra_tanimoto_SP_0.20_1,137,19,40,0.20,0.14159096455796713
bace_spectra_tanimoto_SP_0.20_2,133,19,38,0.20,0.14251540277310482
bace_spectra_tanimoto_SP_0.25_0,85,12,25,0.25,0.1378350571433967
bace_spectra_tanimoto_SP_0.25_1,82,11,24,0.25,0.1371208030687777
bace_spectra_tanimoto_SP_0.25_2,91,13,27,0.25,0.1384628683315752
bace_spectra_tanimoto_SP_0.30_0,70,9,20,0.30,0.13562869335047945
bace_spectra_tanimoto_SP_0.30_1,66,9,19,0.30,0.13556234250779914
bace_spectra_tanimoto_SP_0.30_2,56,8,17,0.30,0.13989940109901958
bace_spectra_tanimoto_SP_0.35_0,49,7,15,0.35,0.1326496333868857
bace_spectra_tanimoto_SP_0.35_1,48,6,14,0.35,0.13165622346978414
bace_spectra_tanimoto_SP_0.35_2,46,6,14,0.35,0.12743777118866678
bace_spectra_tanimoto_SP_0.40_0,33,4,10,0.40,0.13930093362018978
bace_spectra_tanimoto_SP_0.40_1,36,5,11,0.40,0.13159779646615746
bace_spectra_tanimoto_SP_0.40_2,37,5,11,0.40,0.13350279630418363
bace_spectra_tanimoto_SP_0.45_0,29,4,9,0.45,0.12457212586471345
bace_spectra_tanimoto_SP_0.45_1,31,4,9,0.45,0.13187646405955883
bace_spectra_tanimoto_SP_0.45_2,28,3,8,0.45,0.12611929052189316
bace_spectra_tanimoto_SP_0.50_0,26,3,8,0.50,0.11369749533157533
bace_spectra_tanimoto_SP_0.50_1,25,3,8,0.50,0.10883402303952887
bace_spectra_tanimoto_SP_0.50_2,25,3,8,0.50,0.12811461335223606
bace_spectra_tanimoto_SP_0.55_0,20,2,6,0.55,0.1243802489384569
bace_spectra_tanimoto_SP_0.55_1,18,2,5,0.55,0.1224857398691381
bace_spectra_tanimoto_SP_0.55_2,15,2,5,0.55,0.13505091912147896
bace_spectra_tanimoto_SP_0.60_0,14,1,4,0.60,0.1240753661891416
bace_spectra_tanimoto_SP_0.60_1,14,1,4,0.60,0.12586480904369665
bace_spectra_tanimoto_SP_0.60_2,14,2,5,0.60,0.116026647118539
bace_spectra_tanimoto_SP_0.65_0,11,1,3,0.65,0.1344359829810853
bace_spectra_tanimoto_SP_0.65_1,12,1,4,0.65,0.1168679195964681
bace_spectra_tanimoto_SP_0.65_2,12,1,4,0.65,0.11562853413908374
bace_spectra_tanimoto_SP_0.70_0,9,1,3,0.70,0.12676064962997033
bace_spectra_tanimoto_SP_0.70_1,9,1,3,0.70,0.11029811954114363
bace_spectra_tanimoto_SP_0.70_2,9,1,3,0.70,0.1500660508370894
bace_spectra_tanimoto_SP_0.75_0,7,1,2,0.75,0.14640907093086777
bace_spectra_tanimoto_SP_0.75_1,7,1,2,0.75,0.09103414991887059
bace_spectra_tanimoto_SP_0.75_2,9,1,3,0.75,0.14563423606891396
bace_spectra_tanimoto_SP_0.80_0,7,0,2,0.80,0.13901429794939357
bace_spectra_tanimoto_SP_0.80_1,6,0,2,0.80,0.14071300328204533
bace_spectra_tanimoto_SP_0.80_2,8,1,3,0.80,0.12358199224506272
bace_spectra_tanimoto_SP_0.85_0,7,0,2,0.85,0.15958976638675243
bace_spectra_tanimoto_SP_0.85_1,5,0,2,0.85,0.1644906321048625
bace_spectra_tanimoto_SP_0.85_2,5,0,2,0.85,0.1269180603728927
bace_spectra_tanimoto_SP_0.90_0,4,0,2,0.90,0.1525006316139673
bace_spectra_tanimoto_SP_0.90_1,5,0,2,0.90,0.0703442975260843
bace_spectra_tanimoto_SP_0.95_2,4,0,2,0.95,0.13380513036811736
