index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
bbbp_spectra_tanimoto_SP_0.00_0,1376,196,393,0.00,0.1123308247980453
bbbp_spectra_tanimoto_SP_0.00_1,1376,196,393,0.00,0.11428285018526367
bbbp_spectra_tanimoto_SP_0.00_2,1376,196,393,0.00,0.11278290623542907
bbbp_spectra_tanimoto_SP_0.05_0,656,93,188,0.05,0.09657757171511798
bbbp_spectra_tanimoto_SP_0.05_1,657,93,188,0.05,0.09863853803157062
bbbp_spectra_tanimoto_SP_0.05_2,646,92,185,0.05,0.09731157708732793
bbbp_spectra_tanimoto_SP_0.10_0,352,50,101,0.10,0.08557518338580429
bbbp_spectra_tanimoto_SP_0.10_1,343,48,98,0.10,0.08825202202872506
bbbp_spectra_tanimoto_SP_0.10_2,346,49,99,0.10,0.08799357014885129
bbbp_spectra_tanimoto_SP_0.15_0,219,31,63,0.15,0.07525892359462963
bbbp_spectra_tanimoto_SP_0.15_1,231,32,66,0.15,0.07772267597581467
bbbp_spectra_tanimoto_SP_0.15_2,222,31,64,0.15,0.07787164601476007
bbbp_spectra_tanimoto_SP_0.20_0,156,22,45,0.20,0.07361927646913682
bbbp_spectra_tanimoto_SP_0.20_1,160,22,46,0.20,0.0759237968979597
bbbp_spectra_tanimoto_SP_0.20_2,154,22,44,0.20,0.07561868605162692
bbbp_spectra_tanimoto_SP_0.25_0,116,16,33,0.25,0.06788049677901675
bbbp_spectra_tanimoto_SP_0.25_1,112,16,32,0.25,0.06827416781704577
bbbp_spectra_tanimoto_SP_0.25_2,112,15,32,0.25,0.06911816140997565
bbbp_spectra_tanimoto_SP_0.30_0,84,12,25,0.30,0.06777676352032977
bbbp_spectra_tanimoto_SP_0.30_1,93,13,27,0.30,0.06704580048544001
bbbp_spectra_tanimoto_SP_0.30_2,94,13,27,0.30,0.06267377395905799
bbbp_spectra_tanimoto_SP_0.35_0,76,10,22,0.35,0.06286006324252603
bbbp_spectra_tanimoto_SP_0.35_1,73,10,21,0.35,0.057408435100157224
bbbp_spectra_tanimoto_SP_0.35_2,74,10,21,0.35,0.06417780758816041
bbbp_spectra_tanimoto_SP_0.40_0,59,8,17,0.40,0.05257303310226905
bbbp_spectra_tanimoto_SP_0.40_1,57,8,17,0.40,0.055654444867694546
bbbp_spectra_tanimoto_SP_0.40_2,58,8,17,0.40,0.05721629239461253
bbbp_spectra_tanimoto_SP_0.45_0,49,7,14,0.45,0.0547460367762158
bbbp_spectra_tanimoto_SP_0.45_1,53,7,15,0.45,0.04939726257930379
bbbp_spectra_tanimoto_SP_0.45_2,50,7,15,0.45,0.05634021722190208
bbbp_spectra_tanimoto_SP_0.50_0,42,5,12,0.50,0.050641174080544304
bbbp_spectra_tanimoto_SP_0.50_1,38,5,11,0.50,0.053637533840574333
bbbp_spectra_tanimoto_SP_0.50_2,39,5,11,0.50,0.04985781221891588
bbbp_spectra_tanimoto_SP_0.55_0,35,4,10,0.55,0.050130330473790966
bbbp_spectra_tanimoto_SP_0.55_1,35,5,10,0.55,0.051023201621291085
bbbp_spectra_tanimoto_SP_0.55_2,33,4,10,0.55,0.05340288561178438
bbbp_spectra_tanimoto_SP_0.60_0,31,4,9,0.60,0.045916592836936755
bbbp_spectra_tanimoto_SP_0.60_1,32,4,10,0.60,0.04769442643606091
bbbp_spectra_tanimoto_SP_0.60_2,25,3,8,0.60,0.04368882105182279
bbbp_spectra_tanimoto_SP_0.65_0,21,3,6,0.65,0.05190918668709677
bbbp_spectra_tanimoto_SP_0.65_1,25,3,7,0.65,0.03956476231008772
bbbp_spectra_tanimoto_SP_0.65_2,24,3,7,0.65,0.03853154964662782
bbbp_spectra_tanimoto_SP_0.70_0,20,2,6,0.70,0.03716239513161541
bbbp_spectra_tanimoto_SP_0.70_1,21,2,6,0.70,0.0457800774328082
bbbp_spectra_tanimoto_SP_0.70_2,21,3,7,0.70,0.02814148114865532
bbbp_spectra_tanimoto_SP_0.75_0,18,2,5,0.75,0.035871523082943585
bbbp_spectra_tanimoto_SP_0.75_1,18,2,5,0.75,0.050816736651905614
bbbp_spectra_tanimoto_SP_0.75_2,18,2,6,0.75,0.040999006029633744
bbbp_spectra_tanimoto_SP_0.80_0,12,1,4,0.80,0.04207067981680571
bbbp_spectra_tanimoto_SP_0.80_1,14,1,4,0.80,0.03164426801322858
bbbp_spectra_tanimoto_SP_0.80_2,14,1,4,0.80,0.03766081785361858
bbbp_spectra_tanimoto_SP_0.85_0,9,1,3,0.85,0.022748066748031717
bbbp_spectra_tanimoto_SP_0.85_1,10,1,3,0.85,0.034946893555824365
bbbp_spectra_tanimoto_SP_0.85_2,8,1,3,0.85,0.03612296448865756
bbbp_spectra_tanimoto_SP_0.90_0,7,1,2,0.90,0.03425784701339742
bbbp_spectra_tanimoto_SP_0.90_1,7,1,2,0.90,0.0222358948303361
bbbp_spectra_tanimoto_SP_0.90_2,11,1,3,0.90,0.015883546424472927
bbbp_spectra_tanimoto_SP_0.95_0,7,1,3,0.95,0.017502850616194148
bbbp_spectra_tanimoto_SP_0.95_1,7,0,2,0.95,0.006512135088918126
bbbp_spectra_tanimoto_SP_0.95_2,7,1,2,0.95,0.018148960689911807
bbbp_spectra_tanimoto_SP_1.00_0,4,0,2,1.00,0.0
