index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
clintox_spectra_tanimoto_SP_0.00_0,1008,144,288,0.00,0.09477215956845059
clintox_spectra_tanimoto_SP_0.00_1,1008,144,288,0.00,0.09722208461525367
clintox_spectra_tanimoto_SP_0.00_2,1008,144,288,0.00,0.09773868880382021
clintox_spectra_tanimoto_SP_0.05_0,530,75,152,0.05,0.08482088449650951
clintox_spectra_tanimoto_SP_0.05_1,522,74,150,0.05,0.08133389142566691
clintox_spectra_tanimoto_SP_0.05_2,511,73,147,0.05,0.08401540599642326
clintox_spectra_tanimoto_SP_0.10_0,290,41,83,0.10,0.06902555410805288
clintox_spectra_tanimoto_SP_0.10_1,297,42,85,0.10,0.07402987991655346
clintox_spectra_tanimoto_SP_0.10_2,280,39,80,0.10,0.06944571533810251
clintox_spectra_tanimoto_SP_0.15_0,188,26,54,0.15,0.06258542113200517
clintox_spectra_tanimoto_SP_0.15_1,196,28,56,0.15,0.06742936553414454
clintox_spectra_tanimoto_SP_0.15_2,192,27,55,0.15,0.06259775876557795
clintox_spectra_tanimoto_SP_0.20_0,140,20,41,0.20,0.060827397754529694
clintox_spectra_tanimoto_SP_0.20_1,133,19,38,0.20,0.05902699598878404
clintox_spectra_tanimoto_SP_0.20_2,141,20,41,0.20,0.0617662694066392
clintox_spectra_tanimoto_SP_0.25_0,97,13,28,0.25,0.05307637179451634
clintox_spectra_tanimoto_SP_0.25_1,112,15,32,0.25,0.049505811562696574
clintox_spectra_tanimoto_SP_0.25_2,106,15,31,0.25,0.05744320578033412
clintox_spectra_tanimoto_SP_0.30_0,82,11,24,0.30,0.05152811195520126
clintox_spectra_tanimoto_SP_0.30_1,88,12,25,0.30,0.04961860028251522
clintox_spectra_tanimoto_SP_0.30_2,84,12,24,0.30,0.04955672377911512
clintox_spectra_tanimoto_SP_0.35_0,70,9,20,0.35,0.049073594553895775
clintox_spectra_tanimoto_SP_0.35_1,67,9,19,0.35,0.047146444958816036
clintox_spectra_tanimoto_SP_0.35_2,70,9,20,0.35,0.047345367160977626
clintox_spectra_tanimoto_SP_0.40_0,54,7,16,0.40,0.03794948176718796
clintox_spectra_tanimoto_SP_0.40_1,60,8,17,0.40,0.044468279854952435
clintox_spectra_tanimoto_SP_0.40_2,56,7,16,0.40,0.041875301998192845
clintox_spectra_tanimoto_SP_0.45_0,50,7,15,0.45,0.04141843982574392
clintox_spectra_tanimoto_SP_0.45_1,48,6,14,0.45,0.04503759352835415
clintox_spectra_tanimoto_SP_0.45_2,45,6,13,0.45,0.03746951915837727
clintox_spectra_tanimoto_SP_0.50_0,41,5,12,0.50,0.032393186395251475
clintox_spectra_tanimoto_SP_0.50_1,42,6,12,0.50,0.0332245473938771
clintox_spectra_tanimoto_SP_0.50_2,42,5,12,0.50,0.030862991394184396
clintox_spectra_tanimoto_SP_0.55_0,35,4,10,0.55,0.03163685093007875
clintox_spectra_tanimoto_SP_0.55_1,33,4,10,0.55,0.03610808695469217
clintox_spectra_tanimoto_SP_0.55_2,35,5,10,0.55,0.03631655808413137
clintox_spectra_tanimoto_SP_0.60_0,32,4,9,0.60,0.02669813599210984
clintox_spectra_tanimoto_SP_0.60_1,28,3,8,0.60,0.029748921192103758
clintox_spectra_tanimoto_SP_0.60_2,31,4,9,0.60,0.030461510854550358
clintox_spectra_tanimoto_SP_0.65_0,25,3,7,0.65,0.0326473053774914
clintox_spectra_tanimoto_SP_0.65_1,26,3,8,0.65,0.028027972623619654
clintox_spectra_tanimoto_SP_0.65_2,25,3,7,0.65,0.02828198074120318
clintox_spectra_tanimoto_SP_0.70_0,21,2,6,0.70,0.027888245462302022
clintox_spectra_tanimoto_SP_0.70_1,21,3,6,0.70,0.023147192786235938
clintox_spectra_tanimoto_SP_0.70_2,21,3,7,0.70,0.02635027311963264
clintox_spectra_tanimoto_SP_0.75_0,18,2,5,0.75,0.033517021468642993
clintox_spectra_tanimoto_SP_0.75_1,19,2,6,0.75,0.027502365197635444
clintox_spectra_tanimoto_SP_0.75_2,18,2,6,0.75,0.024154696266874057
clintox_spectra_tanimoto_SP_0.80_0,15,2,5,0.80,0.027493588059469717
clintox_spectra_tanimoto_SP_0.80_1,16,2,5,0.80,0.020855794502870343
clintox_spectra_tanimoto_SP_0.80_2,14,2,5,0.80,0.03689898695317784
clintox_spectra_tanimoto_SP_0.85_0,14,2,4,0.85,0.0219313985210556
clintox_spectra_tanimoto_SP_0.85_1,13,1,4,0.85,0.012170297750021918
clintox_spectra_tanimoto_SP_0.85_2,14,2,4,0.85,0.023362715005227314
clintox_spectra_tanimoto_SP_0.90_0,10,1,3,0.90,0.02007733989230755
clintox_spectra_tanimoto_SP_0.90_1,8,1,3,0.90,0.008787463450292398
clintox_spectra_tanimoto_SP_0.90_2,9,1,3,0.90,0.017745541130936626
clintox_spectra_tanimoto_SP_0.95_0,9,1,3,0.95,0.009233057784837718
clintox_spectra_tanimoto_SP_0.95_1,6,0,2,0.95,0.0016666666666666668
clintox_spectra_tanimoto_SP_0.95_2,9,1,3,0.95,0.01414295337743471
clintox_spectra_tanimoto_SP_1.00_0,4,0,2,1.00,0.0
clintox_spectra_tanimoto_SP_1.00_1,5,0,2,1.00,0.0
clintox_spectra_tanimoto_SP_1.00_2,5,0,2,1.00,0.0
