index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
delaney_spectra_tanimoto_SP_0.00_0,774,110,222,0.00,0.08239430230141201
delaney_spectra_tanimoto_SP_0.00_1,774,110,222,0.00,0.08149695823410825
delaney_spectra_tanimoto_SP_0.00_2,774,110,222,0.00,0.08131294349304587
delaney_spectra_tanimoto_SP_0.05_0,449,64,129,0.05,0.06968427099924593
delaney_spectra_tanimoto_SP_0.05_1,440,62,126,0.05,0.0700400473776518
delaney_spectra_tanimoto_SP_0.05_2,447,63,128,0.05,0.07148183459634037
delaney_spectra_tanimoto_SP_0.10_0,250,35,72,0.10,0.06030873695077471
delaney_spectra_tanimoto_SP_0.10_1,264,37,76,0.10,0.05859422611897248
delaney_spectra_tanimoto_SP_0.10_2,254,36,73,0.10,0.062420473585525174
delaney_spectra_tanimoto_SP_0.15_0,165,23,48,0.15,0.05347076460986117
delaney_spectra_tanimoto_SP_0.15_1,164,23,47,0.15,0.054358166054816914
delaney_spectra_tanimoto_SP_0.15_2,173,24,50,0.15,0.05160174625554851
delaney_spectra_tanimoto_SP_0.20_0,109,15,31,0.20,0.05013956944107685
delaney_spectra_tanimoto_SP_0.20_1,118,16,34,0.20,0.05083110316922897
delaney_spectra_tanimoto_SP_0.20_2,105,15,30,0.20,0.049101834702400496
delaney_spectra_tanimoto_SP_0.25_0,83,11,24,0.25,0.05049794280195049
delaney_spectra_tanimoto_SP_0.25_1,85,12,25,0.25,0.045655451102384455
delaney_spectra_tanimoto_SP_0.25_2,79,11,23,0.25,0.05084518177083883
delaney_spectra_tanimoto_SP_0.30_0,67,9,19,0.30,0.04957114089200707
delaney_spectra_tanimoto_SP_0.30_1,64,9,19,0.30,0.037241142810531945
delaney_spectra_tanimoto_SP_0.30_2,56,8,16,0.30,0.04750748293685102
delaney_spectra_tanimoto_SP_0.35_0,52,7,15,0.35,0.04243116283663348
delaney_spectra_tanimoto_SP_0.35_1,50,7,15,0.35,0.04200926491015132
delaney_spectra_tanimoto_SP_0.35_2,49,6,14,0.35,0.042390133522457255
delaney_spectra_tanimoto_SP_0.40_0,41,5,12,0.40,0.038386333825514755
delaney_spectra_tanimoto_SP_0.40_1,39,5,11,0.40,0.0431373620576987
delaney_spectra_tanimoto_SP_0.40_2,40,5,12,0.40,0.03620678756905482
delaney_spectra_tanimoto_SP_0.45_0,28,4,9,0.45,0.04130069356880322
delaney_spectra_tanimoto_SP_0.45_1,29,4,9,0.45,0.04749169346095922
delaney_spectra_tanimoto_SP_0.45_2,25,3,8,0.45,0.04570138143996152
delaney_spectra_tanimoto_SP_0.50_0,25,3,8,0.50,0.03455380047015652
delaney_spectra_tanimoto_SP_0.50_1,24,3,7,0.50,0.040393183095994115
delaney_spectra_tanimoto_SP_0.50_2,25,3,8,0.50,0.05736390034434277
delaney_spectra_tanimoto_SP_0.55_0,19,2,6,0.55,0.03355049248090524
delaney_spectra_tanimoto_SP_0.55_1,19,2,6,0.55,0.02972721654917541
delaney_spectra_tanimoto_SP_0.55_2,23,3,7,0.55,0.0384876780622629
delaney_spectra_tanimoto_SP_0.60_0,17,2,5,0.60,0.02608321625203286
delaney_spectra_tanimoto_SP_0.60_1,18,2,5,0.60,0.03522043026439298
delaney_spectra_tanimoto_SP_0.60_2,18,2,5,0.60,0.026645107493633063
delaney_spectra_tanimoto_SP_0.65_0,12,1,4,0.65,0.02931657983913082
delaney_spectra_tanimoto_SP_0.65_1,14,1,4,0.65,0.03716286380347019
delaney_spectra_tanimoto_SP_0.65_2,14,2,4,0.65,0.0240785920830272
delaney_spectra_tanimoto_SP_0.70_0,12,1,4,0.70,0.0265158348503227
delaney_spectra_tanimoto_SP_0.70_1,11,1,4,0.70,0.03686666601629543
delaney_spectra_tanimoto_SP_0.70_2,10,1,3,0.70,0.01850132280023751
delaney_spectra_tanimoto_SP_0.75_0,11,1,3,0.75,0.02715466351829988
delaney_spectra_tanimoto_SP_0.75_1,10,1,3,0.75,0.049109486731288725
delaney_spectra_tanimoto_SP_0.75_2,7,1,3,0.75,0.01672240802675585
delaney_spectra_tanimoto_SP_0.80_0,7,0,2,0.80,0.015391156462585032
delaney_spectra_tanimoto_SP_0.80_1,9,1,3,0.80,0.020810858492017914
delaney_spectra_tanimoto_SP_0.80_2,8,1,3,0.80,0.055858494363929145
delaney_spectra_tanimoto_SP_0.85_0,6,0,2,0.85,0.02805150440152411
delaney_spectra_tanimoto_SP_0.85_1,7,1,2,0.85,0.04112554112554112
delaney_spectra_tanimoto_SP_0.85_2,7,0,2,0.85,0.0
delaney_spectra_tanimoto_SP_0.90_0,7,1,2,0.90,0.058145115753811406
delaney_spectra_tanimoto_SP_0.90_1,6,0,2,0.90,0.0
delaney_spectra_tanimoto_SP_0.90_2,7,1,2,0.90,0.04398867034736599
delaney_spectra_tanimoto_SP_0.95_0,6,0,2,0.95,0.03571428571428571
delaney_spectra_tanimoto_SP_0.95_1,7,0,2,0.95,0.02539396087783185
delaney_spectra_tanimoto_SP_0.95_2,7,1,3,0.95,0.00869047619047619
delaney_spectra_tanimoto_SP_1.00_0,5,0,2,1.00,0.0
delaney_spectra_tanimoto_SP_1.00_1,4,0,2,1.00,0.0
delaney_spectra_tanimoto_SP_1.00_2,5,0,2,1.00,0.0
