index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
freesolv_spectra_tanimoto_SP_0.00_0,448,64,129,0.00,0.07784882185851864
freesolv_spectra_tanimoto_SP_0.00_1,448,64,129,0.00,0.07738633454978439
freesolv_spectra_tanimoto_SP_0.00_2,448,64,129,0.00,0.07644818783766653
freesolv_spectra_tanimoto_SP_0.05_0,310,44,89,0.05,0.06933192914358059
freesolv_spectra_tanimoto_SP_0.05_1,292,41,84,0.05,0.06797097507560801
freesolv_spectra_tanimoto_SP_0.05_2,299,42,86,0.05,0.068772355693421
freesolv_spectra_tanimoto_SP_0.10_0,194,27,56,0.10,0.05503681902090974
freesolv_spectra_tanimoto_SP_0.10_1,182,26,52,0.10,0.059703823796060734
freesolv_spectra_tanimoto_SP_0.10_2,190,27,55,0.10,0.062392569190898674
freesolv_spectra_tanimoto_SP_0.15_0,126,18,36,0.15,0.051206714474944175
freesolv_spectra_tanimoto_SP_0.15_1,121,17,35,0.15,0.05338515573783861
freesolv_spectra_tanimoto_SP_0.15_2,126,17,36,0.15,0.052395517460732795
freesolv_spectra_tanimoto_SP_0.20_0,91,12,26,0.20,0.044946843449920705
freesolv_spectra_tanimoto_SP_0.20_1,95,13,28,0.20,0.046919704297353294
freesolv_spectra_tanimoto_SP_0.20_2,98,14,29,0.20,0.04382389805981985
freesolv_spectra_tanimoto_SP_0.25_0,70,9,20,0.25,0.04233806577851052
freesolv_spectra_tanimoto_SP_0.25_1,74,10,21,0.25,0.04085682960959109
freesolv_spectra_tanimoto_SP_0.25_2,70,9,20,0.25,0.04336207143678604
freesolv_spectra_tanimoto_SP_0.30_0,47,6,14,0.30,0.046105245694926654
freesolv_spectra_tanimoto_SP_0.30_1,53,7,15,0.30,0.04765630275200753
freesolv_spectra_tanimoto_SP_0.30_2,47,6,14,0.30,0.045194780543655576
freesolv_spectra_tanimoto_SP_0.35_0,37,5,11,0.35,0.045431251242932534
freesolv_spectra_tanimoto_SP_0.35_1,34,4,10,0.35,0.03742427157154769
freesolv_spectra_tanimoto_SP_0.35_2,35,5,10,0.35,0.03602340885125171
freesolv_spectra_tanimoto_SP_0.40_0,35,5,10,0.40,0.030638561265043735
freesolv_spectra_tanimoto_SP_0.40_1,35,4,10,0.40,0.028955715339832207
freesolv_spectra_tanimoto_SP_0.40_2,25,3,8,0.40,0.05293317347182344
freesolv_spectra_tanimoto_SP_0.45_0,24,3,7,0.45,0.030151617883794432
freesolv_spectra_tanimoto_SP_0.45_1,24,3,7,0.45,0.04334487150499103
freesolv_spectra_tanimoto_SP_0.45_2,21,3,7,0.45,0.045809473816250654
freesolv_spectra_tanimoto_SP_0.50_0,21,3,6,0.50,0.031072547969793946
freesolv_spectra_tanimoto_SP_0.50_1,21,3,6,0.50,0.03609765475333174
freesolv_spectra_tanimoto_SP_0.50_2,21,3,6,0.50,0.038185504015269725
freesolv_spectra_tanimoto_SP_0.55_0,17,2,5,0.55,0.018594189323811863
freesolv_spectra_tanimoto_SP_0.55_1,18,2,6,0.55,0.031039039692301835
freesolv_spectra_tanimoto_SP_0.55_2,15,2,5,0.55,0.02177251694079565
freesolv_spectra_tanimoto_SP_0.60_0,14,2,4,0.60,0.025840186453369225
freesolv_spectra_tanimoto_SP_0.60_1,13,1,4,0.60,0.023828881059376392
freesolv_spectra_tanimoto_SP_0.60_2,14,2,5,0.60,0.03814932879629451
freesolv_spectra_tanimoto_SP_0.65_0,14,2,4,0.65,0.014130231507441013
freesolv_spectra_tanimoto_SP_0.65_1,12,1,4,0.65,0.030367068448194773
freesolv_spectra_tanimoto_SP_0.65_2,12,1,4,0.65,0.026537340876265164
freesolv_spectra_tanimoto_SP_0.70_0,14,1,4,0.70,0.02753577893145562
freesolv_spectra_tanimoto_SP_0.70_1,12,1,4,0.70,0.03077816828639197
freesolv_spectra_tanimoto_SP_0.70_2,8,1,3,0.70,0.031830434047003815
freesolv_spectra_tanimoto_SP_0.75_0,10,1,3,0.75,0.01382476574292431
freesolv_spectra_tanimoto_SP_0.75_1,11,1,4,0.75,0.009865134865134866
freesolv_spectra_tanimoto_SP_0.75_2,10,1,3,0.75,0.03528667505649603
freesolv_spectra_tanimoto_SP_0.80_0,9,1,3,0.80,0.010239651416122006
freesolv_spectra_tanimoto_SP_0.80_1,11,1,3,0.80,0.029213732305130156
freesolv_spectra_tanimoto_SP_0.80_2,9,1,3,0.80,0.014300411522633746
freesolv_spectra_tanimoto_SP_0.85_0,8,1,3,0.85,0.04611592111592111
freesolv_spectra_tanimoto_SP_0.85_1,8,1,3,0.85,0.009157509157509158
freesolv_spectra_tanimoto_SP_0.85_2,10,1,3,0.85,0.00914351851851852
freesolv_spectra_tanimoto_SP_0.90_0,7,1,3,0.90,0.0101010101010101
freesolv_spectra_tanimoto_SP_0.90_1,8,1,3,0.90,0.008333333333333333
freesolv_spectra_tanimoto_SP_0.90_2,8,1,3,0.90,0.01521164021164021
freesolv_spectra_tanimoto_SP_0.95_0,7,0,2,0.95,0.0026455026455026454
freesolv_spectra_tanimoto_SP_0.95_1,7,1,3,0.95,0.01488095238095238
freesolv_spectra_tanimoto_SP_0.95_2,8,1,3,0.95,0.014492753623188406
freesolv_spectra_tanimoto_SP_1.00_0,7,1,2,1.00,0.0
freesolv_spectra_tanimoto_SP_1.00_1,7,0,2,1.00,0.0
freesolv_spectra_tanimoto_SP_1.00_2,7,0,2,1.00,0.0
