index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
lipo_spectra_tanimoto_SP_0.00_0,2940,420,840,0.00,0.1299531301825348
lipo_spectra_tanimoto_SP_0.00_1,2940,420,840,0.00,0.12942596642664514
lipo_spectra_tanimoto_SP_0.00_2,2940,420,840,0.00,0.1302371872922618
lipo_spectra_tanimoto_SP_0.05_0,980,140,280,0.05,0.11470173326595964
lipo_spectra_tanimoto_SP_0.05_1,994,142,285,0.05,0.11521886302254696
lipo_spectra_tanimoto_SP_0.05_2,986,140,282,0.05,0.11374482800369928
lipo_spectra_tanimoto_SP_0.10_0,473,67,136,0.10,0.10475646153302526
lipo_spectra_tanimoto_SP_0.10_1,496,70,142,0.10,0.10686439652436094
lipo_spectra_tanimoto_SP_0.10_2,486,69,139,0.10,0.1053650375510069
lipo_spectra_tanimoto_SP_0.15_0,292,41,84,0.15,0.1024076065912847
lipo_spectra_tanimoto_SP_0.15_1,284,40,82,0.15,0.10110313488232821
lipo_spectra_tanimoto_SP_0.15_2,284,40,81,0.15,0.10195332357833216
lipo_spectra_tanimoto_SP_0.20_0,199,28,57,0.20,0.09838746176675947
lipo_spectra_tanimoto_SP_0.20_1,203,28,58,0.20,0.09802769943746592
lipo_spectra_tanimoto_SP_0.20_2,189,27,55,0.20,0.09780362938189593
lipo_spectra_tanimoto_SP_0.25_0,126,18,36,0.25,0.0952725586709859
lipo_spectra_tanimoto_SP_0.25_1,140,20,40,0.25,0.09388624248295341
lipo_spectra_tanimoto_SP_0.25_2,143,20,41,0.25,0.09551076343948917
lipo_spectra_tanimoto_SP_0.30_0,109,15,32,0.30,0.0947600563598704
lipo_spectra_tanimoto_SP_0.30_1,110,15,32,0.30,0.09199189862285535
lipo_spectra_tanimoto_SP_0.30_2,103,14,30,0.30,0.09297479497736709
lipo_spectra_tanimoto_SP_0.35_0,78,11,23,0.35,0.0914381428000255
lipo_spectra_tanimoto_SP_0.35_1,87,12,25,0.35,0.08946033260106177
lipo_spectra_tanimoto_SP_0.35_2,78,11,23,0.35,0.08857874009736166
lipo_spectra_tanimoto_SP_0.40_0,61,8,18,0.40,0.09107993625350598
lipo_spectra_tanimoto_SP_0.40_1,60,8,17,0.40,0.08535187688989368
lipo_spectra_tanimoto_SP_0.40_2,66,9,19,0.40,0.08559256387740108
lipo_spectra_tanimoto_SP_0.45_0,55,7,16,0.45,0.08722007264233263
lipo_spectra_tanimoto_SP_0.45_1,49,7,14,0.45,0.08883497012340606
lipo_spectra_tanimoto_SP_0.45_2,46,6,14,0.45,0.09067981166845615
lipo_spectra_tanimoto_SP_0.50_0,37,5,11,0.50,0.08703841122034932
lipo_spectra_tanimoto_SP_0.50_1,37,5,11,0.50,0.07695053541530392
lipo_spectra_tanimoto_SP_0.50_2,42,5,12,0.50,0.08246434972031529
lipo_spectra_tanimoto_SP_0.55_0,32,4,9,0.55,0.08029370992587798
lipo_spectra_tanimoto_SP_0.55_1,39,5,11,0.55,0.08287324689859889
lipo_spectra_tanimoto_SP_0.55_2,30,4,9,0.55,0.08194606914059632
lipo_spectra_tanimoto_SP_0.60_0,26,3,8,0.60,0.08448085127219798
lipo_spectra_tanimoto_SP_0.60_1,25,3,8,0.60,0.08485963468283654
lipo_spectra_tanimoto_SP_0.60_2,25,3,8,0.60,0.0796029385963912
lipo_spectra_tanimoto_SP_0.65_0,22,3,7,0.65,0.07541880914843047
lipo_spectra_tanimoto_SP_0.65_1,21,2,6,0.65,0.07601066633935556
lipo_spectra_tanimoto_SP_0.65_2,21,3,6,0.65,0.08119980552003425
lipo_spectra_tanimoto_SP_0.70_0,14,2,5,0.70,0.07549913050434655
lipo_spectra_tanimoto_SP_0.70_1,18,2,5,0.70,0.08366918701666998
lipo_spectra_tanimoto_SP_0.70_2,18,2,6,0.70,0.06701876339141431
lipo_spectra_tanimoto_SP_0.75_0,14,2,4,0.75,0.07993657234366577
lipo_spectra_tanimoto_SP_0.75_1,14,1,4,0.75,0.07555650356699381
lipo_spectra_tanimoto_SP_0.75_2,14,2,5,0.75,0.07109308545791143
lipo_spectra_tanimoto_SP_0.80_0,10,1,3,0.80,0.085799016168968
lipo_spectra_tanimoto_SP_0.80_1,12,1,4,0.80,0.0625524330139096
lipo_spectra_tanimoto_SP_0.80_2,11,1,3,0.80,0.06558927689315157
lipo_spectra_tanimoto_SP_0.85_0,7,1,3,0.85,0.07792569084217345
lipo_spectra_tanimoto_SP_0.85_1,8,1,3,0.85,0.07392693305701827
lipo_spectra_tanimoto_SP_0.85_2,10,1,3,0.85,0.06764176150341301
lipo_spectra_tanimoto_SP_0.90_0,7,0,2,0.90,0.07003917328958018
lipo_spectra_tanimoto_SP_0.90_1,7,1,2,0.90,0.06447651518836518
lipo_spectra_tanimoto_SP_0.90_2,8,1,3,0.90,0.05861972968004269
lipo_spectra_tanimoto_SP_0.95_1,5,0,2,0.95,0.055873022482778645
lipo_spectra_tanimoto_SP_0.95_2,6,0,2,0.95,0.061130457718553244
