index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
sider_spectra_tanimoto_SP_0.00_0,999,142,286,0.00,0.09484939358034125
sider_spectra_tanimoto_SP_0.00_1,999,142,286,0.00,0.095683407753416
sider_spectra_tanimoto_SP_0.00_2,999,142,286,0.00,0.09586344449721515
sider_spectra_tanimoto_SP_0.05_0,525,75,150,0.05,0.07812117453337561
sider_spectra_tanimoto_SP_0.05_1,529,75,151,0.05,0.0804087443446909
sider_spectra_tanimoto_SP_0.05_2,535,76,153,0.05,0.07930169674083536
sider_spectra_tanimoto_SP_0.10_0,294,41,84,0.10,0.0666705067685364
sider_spectra_tanimoto_SP_0.10_1,294,42,84,0.10,0.06580619413867955
sider_spectra_tanimoto_SP_0.10_2,305,43,88,0.10,0.06500372307864127
sider_spectra_tanimoto_SP_0.15_0,207,29,59,0.15,0.05352738912324084
sider_spectra_tanimoto_SP_0.15_1,208,29,60,0.15,0.05560221614239199
sider_spectra_tanimoto_SP_0.15_2,203,29,58,0.15,0.059338299237198695
sider_spectra_tanimoto_SP_0.20_0,154,22,45,0.20,0.04932534479418526
sider_spectra_tanimoto_SP_0.20_1,153,21,44,0.20,0.049821394675467236
sider_spectra_tanimoto_SP_0.20_2,148,21,43,0.20,0.049867901786528696
sider_spectra_tanimoto_SP_0.25_0,114,16,33,0.25,0.03755772103521719
sider_spectra_tanimoto_SP_0.25_1,112,15,32,0.25,0.04050665583941069
sider_spectra_tanimoto_SP_0.25_2,118,16,34,0.25,0.043723061023326015
sider_spectra_tanimoto_SP_0.30_0,98,13,28,0.30,0.034735335799799955
sider_spectra_tanimoto_SP_0.30_1,98,14,29,0.30,0.030067045760505874
sider_spectra_tanimoto_SP_0.30_2,96,13,28,0.30,0.03283213987916089
sider_spectra_tanimoto_SP_0.35_0,81,11,24,0.35,0.03319935378781731
sider_spectra_tanimoto_SP_0.35_1,84,12,25,0.35,0.02405053505272456
sider_spectra_tanimoto_SP_0.35_2,85,12,25,0.35,0.02897555220981995
sider_spectra_tanimoto_SP_0.40_0,67,9,20,0.40,0.0315697047652289
sider_spectra_tanimoto_SP_0.40_1,70,10,21,0.40,0.02488172047516387
sider_spectra_tanimoto_SP_0.40_2,63,9,19,0.40,0.024249882172318056
sider_spectra_tanimoto_SP_0.45_0,60,8,18,0.45,0.020639520036543207
sider_spectra_tanimoto_SP_0.45_1,57,8,17,0.45,0.020376755124226417
sider_spectra_tanimoto_SP_0.45_2,60,8,17,0.45,0.02342265568032908
sider_spectra_tanimoto_SP_0.50_0,55,7,16,0.50,0.01879619225983297
sider_spectra_tanimoto_SP_0.50_1,57,8,17,0.50,0.0195317762621469
sider_spectra_tanimoto_SP_0.50_2,54,7,16,0.50,0.018359747439421998
sider_spectra_tanimoto_SP_0.55_0,45,6,13,0.55,0.014729296444589288
sider_spectra_tanimoto_SP_0.55_1,49,7,14,0.55,0.016509379795891135
sider_spectra_tanimoto_SP_0.55_2,46,6,14,0.55,0.017225738944545318
sider_spectra_tanimoto_SP_0.60_0,40,5,12,0.60,0.017183130065336002
sider_spectra_tanimoto_SP_0.60_1,44,6,13,0.60,0.015588633365089885
sider_spectra_tanimoto_SP_0.60_2,42,6,13,0.60,0.017654586299560057
sider_spectra_tanimoto_SP_0.65_0,36,5,11,0.65,0.012421884430838779
sider_spectra_tanimoto_SP_0.65_1,41,5,12,0.65,0.013462825646669735
sider_spectra_tanimoto_SP_0.65_2,42,6,12,0.65,0.014466614712419933
sider_spectra_tanimoto_SP_0.70_0,35,5,10,0.70,0.008163434963260226
sider_spectra_tanimoto_SP_0.70_1,34,4,10,0.70,0.003753324366126406
sider_spectra_tanimoto_SP_0.70_2,32,4,10,0.70,0.009938165858042011
sider_spectra_tanimoto_SP_0.75_0,33,4,10,0.75,0.006658760778436026
sider_spectra_tanimoto_SP_0.75_1,32,4,10,0.75,0.005193154614168995
sider_spectra_tanimoto_SP_0.75_2,32,4,10,0.75,0.009206004897547129
sider_spectra_tanimoto_SP_0.80_0,28,4,8,0.80,0.0027176898175741105
sider_spectra_tanimoto_SP_0.80_1,30,4,9,0.80,0.0014941323726414266
sider_spectra_tanimoto_SP_0.80_2,28,4,9,0.80,0.009370437277857094
sider_spectra_tanimoto_SP_0.85_0,27,3,8,0.85,0.0059927564884148755
sider_spectra_tanimoto_SP_0.85_1,28,4,8,0.85,0.0008904049867199755
sider_spectra_tanimoto_SP_0.85_2,27,3,8,0.85,0.002318347629854629
sider_spectra_tanimoto_SP_0.90_0,25,3,7,0.90,0.00023090379008746355
sider_spectra_tanimoto_SP_0.90_1,25,3,7,0.90,0.0007365099408384559
sider_spectra_tanimoto_SP_0.90_2,23,3,7,0.90,0.0019384129477526154
sider_spectra_tanimoto_SP_0.95_0,20,2,6,0.95,0.0009259259259259259
sider_spectra_tanimoto_SP_0.95_1,21,2,6,0.95,0.0
sider_spectra_tanimoto_SP_0.95_2,17,2,5,0.95,0.002732637626983715
sider_spectra_tanimoto_SP_1.00_0,20,2,6,1.00,0.0
sider_spectra_tanimoto_SP_1.00_1,19,2,6,1.00,0.0
sider_spectra_tanimoto_SP_1.00_2,18,2,6,1.00,0.0
