index,train_size,val_size,test_size,SPECTRA_parameter,cross_split_overlap
tox21_spectra_tanimoto_SP_0.00_0,5476,782,1565,0.00,0.08790454178113834
tox21_spectra_tanimoto_SP_0.00_1,5476,782,1565,0.00,0.08757416537927912
tox21_spectra_tanimoto_SP_0.00_2,5476,782,1565,0.00,0.08818648911177959
tox21_spectra_tanimoto_SP_0.05_0,1630,232,466,0.05,0.0652083039942378
tox21_spectra_tanimoto_SP_0.05_1,1677,239,479,0.05,0.06550609773948426
tox21_spectra_tanimoto_SP_0.05_2,1880,235,471,0.05,0.0650047824425284
tox21_spectra_tanimoto_SP_0.10_0,864,108,217,0.10,0.05163110955734607
tox21_spectra_tanimoto_SP_0.10_1,883,110,221,0.10,0.05446192984845387
tox21_spectra_tanimoto_SP_0.10_2,866,108,217,0.10,0.0536439227778477
tox21_spectra_tanimoto_SP_0.15_0,504,63,126,0.15,0.04543701816374719
tox21_spectra_tanimoto_SP_0.15_1,511,63,128,0.15,0.04473091028615741
tox21_spectra_tanimoto_SP_0.15_2,517,64,130,0.15,0.046852569270128645
tox21_spectra_tanimoto_SP_0.20_0,336,42,85,0.20,0.04058473280700115
tox21_spectra_tanimoto_SP_0.20_1,348,43,87,0.20,0.04034198326691036
tox21_spectra_tanimoto_SP_0.20_2,350,43,88,0.20,0.0399364417006232
tox21_spectra_tanimoto_SP_0.25_0,254,31,64,0.25,0.03754121012729937
tox21_spectra_tanimoto_SP_0.25_1,248,31,62,0.25,0.03721588758107591
tox21_spectra_tanimoto_SP_0.25_2,242,30,61,0.25,0.03682943734425746
tox21_spectra_tanimoto_SP_0.30_0,188,23,47,0.30,0.032833686029636114
tox21_spectra_tanimoto_SP_0.30_1,182,22,46,0.30,0.029051590546941584
tox21_spectra_tanimoto_SP_0.30_2,185,23,47,0.30,0.03222422533778454
tox21_spectra_tanimoto_SP_0.35_0,150,18,38,0.35,0.02712240172129395
tox21_spectra_tanimoto_SP_0.35_1,147,18,37,0.35,0.02611245451100991
tox21_spectra_tanimoto_SP_0.35_2,153,19,39,0.35,0.027395348345903573
tox21_spectra_tanimoto_SP_0.40_0,120,15,31,0.40,0.02663786648203209
tox21_spectra_tanimoto_SP_0.40_1,114,14,29,0.40,0.022748887615868334
tox21_spectra_tanimoto_SP_0.40_2,118,14,30,0.40,0.026544188367880972
tox21_spectra_tanimoto_SP_0.45_0,96,12,24,0.45,0.022980691660151716
tox21_spectra_tanimoto_SP_0.45_1,88,11,22,0.45,0.027920840231868797
tox21_spectra_tanimoto_SP_0.45_2,98,12,25,0.45,0.020967175600794093
tox21_spectra_tanimoto_SP_0.50_0,83,10,21,0.50,0.019963250105772247
tox21_spectra_tanimoto_SP_0.50_1,77,9,20,0.50,0.017661224921709753
tox21_spectra_tanimoto_SP_0.50_2,81,10,21,0.50,0.020512643454282452
tox21_spectra_tanimoto_SP_0.55_0,65,8,17,0.55,0.01941456037346386
tox21_spectra_tanimoto_SP_0.55_1,66,8,17,0.55,0.01519085949893922
tox21_spectra_tanimoto_SP_0.55_2,67,8,17,0.55,0.01896891998087489
tox21_spectra_tanimoto_SP_0.60_0,56,7,14,0.60,0.019119056151679623
tox21_spectra_tanimoto_SP_0.60_1,55,6,14,0.60,0.016752359256046317
tox21_spectra_tanimoto_SP_0.60_2,57,7,15,0.60,0.019437584324619867
tox21_spectra_tanimoto_SP_0.65_0,51,6,13,0.65,0.012712657957800438
tox21_spectra_tanimoto_SP_0.65_1,48,6,12,0.65,0.013852772798410233
tox21_spectra_tanimoto_SP_0.65_2,49,6,13,0.65,0.011065506770312246
tox21_spectra_tanimoto_SP_0.70_0,41,5,11,0.70,0.007157053266219473
tox21_spectra_tanimoto_SP_0.70_1,39,4,10,0.70,0.0075809044057749
tox21_spectra_tanimoto_SP_0.70_2,39,4,10,0.70,0.013612562216278958
tox21_spectra_tanimoto_SP_0.75_0,37,4,10,0.75,0.008215007421241562
tox21_spectra_tanimoto_SP_0.75_1,35,4,9,0.75,0.0023280466153965612
tox21_spectra_tanimoto_SP_0.75_2,36,4,10,0.75,0.007874392503620268
tox21_spectra_tanimoto_SP_0.80_0,28,3,7,0.80,0.001243819483615402
tox21_spectra_tanimoto_SP_0.80_1,32,4,8,0.80,0.0034244408830478392
tox21_spectra_tanimoto_SP_0.80_2,30,3,8,0.80,0.009563349648285294
tox21_spectra_tanimoto_SP_0.85_0,27,3,7,0.85,0.007203961072794991
tox21_spectra_tanimoto_SP_0.85_1,27,3,7,0.85,0.004135855326331516
tox21_spectra_tanimoto_SP_0.85_2,24,3,6,0.85,0.0055678809398029645
tox21_spectra_tanimoto_SP_0.90_0,23,2,6,0.90,0.0036613272311212816
tox21_spectra_tanimoto_SP_0.90_1,23,2,6,0.90,0.0016713417484805985
tox21_spectra_tanimoto_SP_0.90_2,28,3,7,0.90,0.002030598431441377
tox21_spectra_tanimoto_SP_0.95_0,21,2,6,0.95,0.003574287467029185
tox21_spectra_tanimoto_SP_0.95_1,21,2,6,0.95,0.0012132822477650064
tox21_spectra_tanimoto_SP_0.95_2,25,3,7,0.95,0.0006349206349206349
tox21_spectra_tanimoto_SP_1.00_0,22,2,6,1.00,0.0
tox21_spectra_tanimoto_SP_1.00_1,22,2,6,1.00,0.0
tox21_spectra_tanimoto_SP_1.00_2,24,3,6,1.00,0.0
