dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
bace,random,0,LogReg,0.903573670522823,
bace,random,0,RF,0.9164200520132724,0.4021394927349982
bace,random,0,XGB,0.9024751143395211,0.4021394927349982
bace,random,0,SVM,0.9099856515110752,0.39384706619594756
bace,random,1,LogReg,0.8501710826460782,
bace,random,1,RF,0.8823258466397614,0.4221585268381751
bace,random,1,XGB,0.8768643621688015,0.4337266557190002
bace,random,1,SVM,0.8751096683628706,0.4412702935244958
bace,random,2,LogReg,0.8323045267489712,
bace,random,2,RF,0.8645696523947115,0.44868712040039804
bace,random,2,XGB,0.8472988354785045,0.48064862666009045
bace,random,2,SVM,0.8663645915418966,0.4449941594899848
bace,random,3,LogReg,0.8734865765923847,
bace,random,3,RF,0.8875241270398315,0.4412702935244958
bace,random,3,XGB,0.876294086681874,0.4412702935244958
bace,random,3,SVM,0.8826109843832252,0.44868712040039804
bace,random,4,LogReg,0.8656097134870719,
bace,random,4,RF,0.8787779524807827,0.43751473336813634
bace,random,4,XGB,0.8748689727463312,0.418231385418616
bace,random,4,SVM,0.8830800139762404,0.429905201001552
bace,scaffold,0,LogReg,0.7593951324266285,
bace,scaffold,0,RF,0.7681862920544023,0.5599387048019753
bace,scaffold,0,XGB,0.7640479599141017,0.5942518940073755
bace,scaffold,0,SVM,0.7771564065855404,0.5389146898204673
bace,scaffold,1,LogReg,0.7657927702219041,
bace,scaffold,1,RF,0.7684770937723694,0.5510266445792832
bace,scaffold,1,XGB,0.777916964924839,0.5687111245916713
bace,scaffold,1,SVM,0.7809591982820329,0.5327554625137915
bace,scaffold,2,LogReg,0.7605583392984968,
bace,scaffold,2,RF,0.7829500715819613,0.5450043146345697
bace,scaffold,2,XGB,0.7833974588403723,0.5540132607341696
bace,scaffold,2,SVM,0.7771564065855404,0.5358439258508835
bace,scaffold,3,LogReg,0.7659717251252685,
bace,scaffold,3,RF,0.7692152827487473,0.5480237522254855
bace,scaffold,3,XGB,0.7618110236220471,0.5886719404433564
bace,scaffold,3,SVM,0.7780064423765211,0.5419680552738267
bace,scaffold,4,LogReg,0.757851646385111,
bace,scaffold,4,RF,0.7853212240515389,0.5658020972047736
bace,scaffold,4,XGB,0.7753892269148175,0.5886719404433564
bace,scaffold,4,SVM,0.7831961345740872,0.5450043146345697
bace,umap,0,LogReg,0.7062794579732915,
bace,umap,0,RF,0.6770424194815396,0.6557971714409342
bace,umap,0,XGB,0.6479526708562452,0.6450456697660376
bace,umap,0,SVM,0.701026119402985,0.6368629409805578
bace,umap,1,LogReg,0.5252926600017089,
bace,umap,1,RF,0.6189865846364181,0.6777044987471676
bace,umap,1,XGB,0.5566094163889601,0.6989988186929946
bace,umap,1,SVM,0.6423566606852944,0.6406429994690722
bace,umap,2,LogReg,0.40374624008750337,
bace,umap,2,RF,0.3118448637316562,0.824931016575705
bace,umap,2,XGB,0.5411539513262237,0.8191010423457444
bace,umap,2,SVM,0.3837389481359949,0.8132292745807567
bace,umap,3,LogReg,0.48965768981181057,
bace,umap,3,RF,0.6038286826735886,0.7271595849240403
bace,umap,3,XGB,0.5569029850746269,0.7164316689560741
bace,umap,3,SVM,0.6101557430240103,0.7613448743500643
bace,umap,4,LogReg,0.5259000259000259,
bace,umap,4,RF,0.48168652335319007,0.7264831572567789
bace,umap,4,XGB,0.4905033238366572,0.7296625298090943
bace,umap,4,SVM,0.493006993006993,0.7184731753543091
bbbp,random,0,LogReg,0.8722414389484607,
bbbp,random,0,RF,0.8962296783120028,0.38746254846514433
bbbp,random,0,XGB,0.8750086475268074,0.4066871058143145
bbbp,random,0,SVM,0.8789519197509512,0.37748329589114904
bbbp,random,1,LogReg,0.8805771009748808,
bbbp,random,1,RF,0.8997011314310112,0.3383841260962061
bbbp,random,1,XGB,0.8666476908845087,0.3269101237460131
bbbp,random,1,SVM,0.8812886928058066,0.3269101237460131
bbbp,random,2,LogReg,0.9296058879392213,
bbbp,random,2,RF,0.9290123456790124,0.3109535527362367
bbbp,random,2,XGB,0.9183681544792657,0.30265996338319096
bbbp,random,2,SVM,0.9218106995884773,0.2897748533756077
bbbp,random,3,LogReg,0.9105189237137787,
bbbp,random,3,RF,0.9353378178592548,0.3421232907242353
bbbp,random,3,XGB,0.9157488172678888,0.3269101237460131
bbbp,random,3,SVM,0.9071185688941455,0.3269101237460131
bbbp,random,4,LogReg,0.933592370187213,
bbbp,random,4,RF,0.9462734016248677,0.3190316136113482
bbbp,random,4,XGB,0.9087954786294595,0.3421232907242353
bbbp,random,4,SVM,0.9450724125750618,0.2941326144971711
bbbp,scaffold,0,LogReg,0.8113857794361525,
bbbp,scaffold,0,RF,0.8389433043117747,0.5639735434936769
bbbp,scaffold,0,XGB,0.7991293532338309,0.5432912611132592
bbbp,scaffold,0,SVM,0.8406146351575455,0.5548765995358501
bbbp,scaffold,1,LogReg,0.8040785655058044,
bbbp,scaffold,1,RF,0.8398631840796019,0.5594435621549695
bbbp,scaffold,1,XGB,0.8096496683250415,0.5314534298427315
bbbp,scaffold,1,SVM,0.8390080845771146,0.5502717348622361
bbbp,scaffold,2,LogReg,0.8005804311774462,
bbbp,scaffold,2,RF,0.8271662520729686,0.5617131193934567
bbbp,scaffold,2,XGB,0.8004638266998342,0.5409444196402705
bbbp,scaffold,2,SVM,0.8360800165837481,0.5571647601693369
bbbp,scaffold,3,LogReg,0.8099087893864014,
bbbp,scaffold,3,RF,0.8385027985074626,0.5525789639955376
bbbp,scaffold,3,XGB,0.8140676824212272,0.5362199237400417
bbbp,scaffold,3,SVM,0.8368055555555556,0.5456280085040742
bbbp,scaffold,4,LogReg,0.8187707296849087,
bbbp,scaffold,4,RF,0.8239920190713101,0.5707011000051374
bbbp,scaffold,4,XGB,0.8054907752902155,0.5432912611132592
bbbp,scaffold,4,SVM,0.8377643034825871,0.5571647601693369
bbbp,umap,0,LogReg,0.7869318181818181,
bbbp,umap,0,RF,0.5770596590909092,0.105999788000636
bbbp,umap,0,XGB,0.7276278409090909,0.158999682000954
bbbp,umap,0,SVM,0.6839488636363636,0.105999788000636
bbbp,umap,1,LogReg,0.7572694111516415,
bbbp,umap,1,RF,0.8170922355393434,0.23893563863660314
